排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,355380,35.5381
成交量排行,2,ＮＴＴ,94320,149.5,1.5,1.01%,150.6,148.7,294291,439.9662
成交量排行,3,ソフトバンク,94340,213.1,1.5,0.71%,215.0,212.6,74012,157.7204
成交量排行,4,キオクシアホールディングス,285A0,71870.0,-530.0,-0.73%,77480.0,69300.0,48348,34747.7795
成交量排行,5,ソニーフィナンシャルグループ,87290,149.7,-0.8,-0.53%,150.0,147.9,44684,66.8928
成交量排行,6,ソフトバンクグループ,99840,5763.0,-8.0,-0.14%,5916.0,5567.0,41852,2411.948
成交量排行,7,村田製作所,69810,9027.0,-185.0,-2.01%,9660.0,8823.0,41610,3756.1798
成交量排行,8,フジクラ,58030,4824.0,-248.0,-4.89%,5106.0,4816.0,40311,1944.6123
成交量排行,9,東京電力ホールディングス,95010,479.9,17.6,3.81%,484.4,459.8,39644,190.254
成交量排行,10,三菱ＵＦＪフィナンシャル・グループ,83060,3433.0,-13.0,-0.38%,3474.0,3401.0,35858,1231.0086
成交量排行,11,ジャパンディスプレイ,67400,52.0,-1.0,-1.89%,54.0,51.0,30689,15.9583
成交量排行,12,住友電気工業,58020,2361.5,-81.5,-3.34%,2454.0,2289.0,29310,692.1745
成交量排行,13,トヨタ自動車,72030,2889.0,-57.0,-1.93%,2942.0,2884.0,28465,822.3741
成交量排行,14,三菱重工業,70110,3821.0,-188.0,-4.69%,3994.0,3821.0,25815,986.4217
成交量排行,15,日産自動車,72010,313.1,-8.7,-2.70%,318.8,311.4,25648,80.3045
成交量排行,16,太陽誘電,69760,14965.0,-1390.0,-8.50%,16850.0,14900.0,24772,3707.2046
成交量排行,17,ＪＸ金属,50160,3681.0,-174.0,-4.51%,3884.0,3681.0,24314,895.002
成交量排行,18,日本製鉄,54010,556.0,-4.3,-0.77%,560.4,554.2,23729,131.9332
成交量排行,19,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,20,楽天グループ,47550,802.8,10.7,1.35%,813.0,776.5,21802,175.0273
成交量排行,21,サンリオ,81360,1177.5,26.5,2.30%,1179.0,1131.0,20706,243.819
成交量排行,22,ＳＵＭＣＯ,34360,4507.0,-63.0,-1.38%,4656.0,4336.0,19509,879.3067
