排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,357026,35.7027
成交量排行,2,ＮＴＴ,94320,150.0,-0.2,-0.13%,151.3,149.7,198521,297.7821
成交量排行,3,ソニーフィナンシャルグループ,87290,158.0,3.0,1.94%,158.6,155.0,96828,152.9884
成交量排行,4,ソフトバンク,94340,220.0,1.2,0.55%,221.4,217.6,80174,176.3848
成交量排行,5,三菱ＵＦＪフィナンシャル・グループ,83060,3697.0,97.0,2.69%,3733.0,3642.0,51178,1892.0507
成交量排行,6,ソフトバンクグループ,99840,6360.0,-214.0,-3.26%,6660.0,6311.0,47455,3018.1507
成交量排行,7,キオクシアホールディングス,285A0,73100.0,4000.0,5.79%,74940.0,71200.0,37223,27210.1592
成交量排行,8,日産自動車,72010,317.0,11.9,3.90%,317.0,308.0,36767,116.5514
成交量排行,9,フジクラ,58030,5145.0,345.0,7.19%,5149.0,4834.0,32782,1686.6596
成交量排行,10,日本製鉄,54010,574.3,6.7,1.18%,576.6,569.5,31939,183.4303
成交量排行,11,東京電力ホールディングス,95010,508.7,5.6,1.11%,516.8,499.7,30120,153.2235
成交量排行,12,川崎重工業,70120,2725.5,35.5,1.32%,2753.5,2611.0,26918,733.6501
成交量排行,13,村田製作所,69810,9100.0,0.0,0.00%,9188.0,8745.0,26579,2418.7618
成交量排行,14,太陽誘電,69760,12605.0,750.0,6.33%,12980.0,12030.0,26290,3313.9049
成交量排行,15,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,16,ＳＵＭＣＯ,34360,5074.0,-233.0,-4.39%,5490.0,5006.0,22159,1124.3883
成交量排行,17,トヨタ自動車,72030,2875.5,36.5,1.29%,2875.5,2837.0,21157,608.3724
成交量排行,18,三菱重工業,70110,3828.0,82.0,2.19%,3855.0,3716.0,19491,746.1308
成交量排行,19,ＪＸ金属,50160,4134.0,237.0,6.08%,4148.0,3975.0,19408,802.3639
成交量排行,20,サンリオ,81360,1178.5,-21.5,-1.79%,1191.0,1163.5,17308,203.9807
成交量排行,21,古河電気工業,58010,3766.0,246.0,6.99%,3793.0,3550.0,16573,624.1618
成交量排行,22,メタプラネット,33500,246.0,1.0,0.41%,254.0,239.0,15629,38.4488
成交量排行,23,住友電気工業,58020,2532.0,73.5,2.99%,2538.0,2456.5,15348,388.6215
成交量排行,24,ジャパンディスプレイ,67400,50.0,-1.0,-1.96%,52.0,50.0,14627,7.3136
成交量排行,25,野村ホールディングス,86040,1626.0,73.0,4.70%,1631.5,1581.5,14545,236.5115
成交量排行,26,三井住友フィナンシャルグループ,83160,7121.0,154.0,2.21%,7137.0,6976.0,14262,1015.654
成交量排行,27,三菱自動車工業,72110,365.7,7.8,2.18%,370.6,352.5,14030,51.3103
成交量排行,28,日立製作所,65010,4796.0,-6.0,-0.12%,4812.0,4651.0,13914,667.3586
成交量排行,29,伊藤忠商事,80010,1936.0,32.0,1.68%,1952.5,1922.5,13349,258.4424
成交量排行,30,安川電機,65060,5490.0,54.0,0.99%,5569.0,5288.0,12782,701.7757
成交量排行,31,ソニーグループ,67580,3389.0,6.0,0.18%,3390.0,3335.0,12717,430.9791
成交量排行,32,ＬＩＮＥヤフー,46890,446.0,-1.1,-0.25%,453.3,444.6,11938,53.2448
成交量排行,33,楽天グループ,47550,810.1,6.4,0.80%,822.2,800.1,11888,96.3071
成交量排行,34,住友化学,40050,548.7,13.1,2.45%,554.2,537.1,11800,64.7493
成交量排行,35,本田技研工業,72670,1511.5,-2.0,-0.13%,1529.5,1506.0,11304,170.863
成交量排行,36,ルネサスエレクトロニクス,67230,4459.0,78.0,1.78%,4480.0,4320.0,11294,503.5995
成交量排行,37,イオン,82670,1366.5,-45.5,-3.22%,1409.0,1361.0,10991,150.2016
成交量排行,38,ＩＨＩ,70130,2811.5,-3.5,-0.12%,2839.5,2733.0,10935,307.4516
成交量排行,39,みずほフィナンシャルグループ,84110,8624.0,144.0,1.70%,8693.0,8411.0,10893,939.4123
成交量排行,40,セブン＆アイ・ホールディングス,33820,1964.0,-30.5,-1.53%,2003.0,1960.0,10098,198.3365
成交量排行,41,富士通,67020,3218.0,-160.0,-4.74%,3290.0,3182.0,9877,317.8483
成交量排行,42,ソシオネクスト,65260,2572.0,-15.0,-0.58%,2632.0,2484.0,9752,250.8266
成交量排行,43,住友商事,80530,1590.0,27.0,1.73%,1596.5,1575.5,9465,150.4951
成交量排行,44,りそなホールディングス,83080,2379.5,9.5,0.40%,2420.5,2358.5,8911,212.0372
成交量排行,45,パナソニック　ホールディングス,67520,4318.0,145.0,3.47%,4318.0,4178.0,8823,380.9901
成交量排行,46,第一ライフグループ,87500,1884.0,28.0,1.51%,1917.0,1861.5,8809,165.9766
成交量排行,47,オリエンタルランド,46610,2622.0,-123.0,-4.48%,2726.0,2612.5,8770,229.9546
成交量排行,48,イビデン,40620,19340.0,1360.0,7.56%,19455.0,17805.0,8657,1674.3605
成交量排行,49,ＴＤＫ,67620,3246.0,12.0,0.37%,3273.0,3195.0,8621,279.8669
成交量排行,50,パン・パシフィック・インターナショナルホールディングス,75320,858.5,-15.5,-1.77%,874.5,853.0,8447,72.5209
成交量排行,51,アサヒグループホールディングス,25020,1588.0,-16.5,-1.03%,1615.0,1588.0,8262,131.2085
成交量排行,52,アドバンテスト,68570,31510.0,1735.0,5.83%,31550.0,29730.0,7789,2454.5345
成交量排行,53,三菱商事,80580,4585.0,89.0,1.98%,4606.0,4530.0,7472,342.5958
成交量排行,54,ＳＨＩＦＴ,36970,701.9,-24.3,-3.35%,712.1,691.2,7391,51.8816
成交量排行,55,ビート・ホールディングス・リミテッド（貝徳控股有限公司）,93990,13.0,-2.0,-13.33%,17.0,13.0,7264,0.9443
成交量排行,56,大黒屋ホールディングス,69930,87.0,0.0,0.00%,88.0,85.0,7220,6.2818
成交量排行,57,日本電気,67010,4270.0,-193.0,-4.32%,4312.0,4218.0,7197,307.3204
成交量排行,58,レーザーテック,69200,49690.0,4590.0,10.18%,50940.0,46830.0,7100,3528.1888
成交量排行,59,ヤマダホールディングス,98310,681.9,3.0,0.44%,696.2,676.6,7082,48.2962
成交量排行,60,ＫＤＤＩ,94330,2852.5,17.5,0.62%,2856.5,2820.0,7038,200.7618
成交量排行,61,三井物産,80310,4824.0,126.0,2.68%,4824.0,4707.0,6963,335.9144
成交量排行,62,ＥＮＥＯＳホールディングス,50200,1283.0,18.5,1.46%,1298.5,1271.0,6894,88.4616
成交量排行,63,ゆうちょ銀行,71820,3350.0,46.0,1.39%,3352.0,3288.0,6865,229.9976
成交量排行,64,良品計画,74530,4166.0,-144.0,-3.34%,4350.0,4109.0,6851,285.4127
成交量排行,65,ニチレイ,28710,1940.0,-172.5,-8.17%,2125.0,1936.5,6723,130.434
成交量排行,66,日本郵政,61780,2407.5,54.5,2.32%,2417.0,2367.5,6605,159.0226
成交量排行,67,三井不動産,88010,1554.0,11.0,0.71%,1558.0,1540.0,6380,99.153
成交量排行,68,大和証券グループ本社,86010,1879.0,77.0,4.27%,1879.0,1826.5,6357,119.4649
成交量排行,69,アステラス製薬,45030,2142.0,-4.0,-0.19%,2146.5,2110.0,6310,135.1731
成交量排行,70,信越化学工業,40630,7690.0,219.0,2.93%,7690.0,7482.0,6309,485.1621
成交量排行,71,デンソー,69020,1953.5,12.0,0.62%,1963.0,1939.0,5965,116.5419
成交量排行,72,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,10850.0,495.0,4.78%,10850.0,10200.0,5923,642.678
成交量排行,73,スズキ,72690,2025.5,8.5,0.42%,2038.0,2020.5,5751,116.4946
成交量排行,74,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,23150,65.0,3.0,4.84%,65.0,61.0,5597,3.6386
成交量排行,75,マネックスグループ,86980,768.0,36.0,4.92%,772.0,738.0,5576,42.8244
成交量排行,76,任天堂,79740,7014.0,-36.0,-0.51%,7119.0,7014.0,5531,387.9514
成交量排行,77,ローツェ,63230,4950.0,458.0,10.20%,5149.0,4501.0,5518,273.1558
成交量排行,78,テスホールディングス,50740,882.0,110.0,14.25%,883.0,768.0,5414,47.7532
成交量排行,79,サイバーステップホールディングス,38100,190.0,-29.0,-13.24%,223.0,188.0,5155,9.796
成交量排行,80,ＩＤＯＭ,75990,1270.0,-96.0,-7.03%,1310.0,1245.0,5043,64.0499
成交量排行,81,旭化成,34070,1887.5,20.5,1.10%,1905.0,1868.0,5013,94.6336
成交量排行,82,マツダ,72610,1112.5,20.0,1.83%,1116.5,1098.0,5003,55.6584
成交量排行,83,ＩＮＰＥＸ,16050,3450.0,-74.0,-2.10%,3528.0,3424.0,4976,171.672
成交量排行,84,三菱電機,65030,5764.0,172.0,3.08%,5769.0,5609.0,4745,273.5018
成交量排行,85,パーソルホールディングス,21810,259.6,0.3,0.12%,260.6,257.5,4728,12.2739
成交量排行,86,三菱ケミカルグループ,41880,1222.0,19.0,1.58%,1228.5,1203.0,4726,57.7566
成交量排行,87,第一三共,45680,2677.0,-2.5,-0.09%,2677.0,2636.5,4674,125.1257
成交量排行,88,セブン銀行,84100,304.4,2.5,0.83%,304.8,301.7,4666,14.2048
成交量排行,89,めぶきフィナンシャルグループ,71670,1531.5,8.5,0.56%,1538.5,1507.0,4657,71.3342
成交量排行,90,ＴＯＷＡ,63150,3400.0,200.0,6.25%,3410.0,3180.0,4593,156.1926
