排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,356812,35.6812
成交量排行,2,ＮＴＴ,94320,147.6,-1.4,-0.94%,149.1,147.6,197882,292.0746
成交量排行,3,ソフトバンクグループ,99840,6370.0,613.0,10.65%,6556.0,6004.0,72262,4603.0894
成交量排行,4,ソフトバンク,94340,211.4,-3.0,-1.40%,214.4,211.4,70035,148.0542
成交量排行,5,三菱自動車工業,72110,361.8,31.2,9.44%,386.6,350.0,63040,228.082
成交量排行,6,ソニーフィナンシャルグループ,87290,149.3,1.5,1.01%,150.5,147.4,49878,74.4687
成交量排行,7,ジャパンディスプレイ,67400,52.0,2.0,4.00%,55.0,50.0,49186,25.5772
成交量排行,8,フジクラ,58030,5150.0,212.0,4.29%,5437.0,5095.0,42643,2196.1145
成交量排行,9,メタプラネット,33500,248.0,10.0,4.20%,262.0,234.0,42638,105.7427
成交量排行,10,キオクシアホールディングス,285A0,77000.0,-860.0,-1.10%,84050.0,75880.0,39973,30779.287
成交量排行,11,日産自動車,72010,310.5,6.0,1.97%,315.1,305.9,35776,111.0845
成交量排行,12,三菱ＵＦＪフィナンシャル・グループ,83060,3461.0,47.0,1.38%,3478.0,3410.0,35147,1216.4446
成交量排行,13,東京電力ホールディングス,95010,480.4,1.3,0.27%,497.0,472.0,33551,161.1828
成交量排行,14,村田製作所,69810,9860.0,385.0,4.06%,10085.0,9582.0,32667,3220.9859
成交量排行,15,住友電気工業,58020,2582.0,181.0,7.54%,2624.0,2525.0,28403,733.3732
成交量排行,16,トヨタ自動車,72030,2823.0,-1.0,-0.04%,2864.5,2817.5,26668,752.8376
成交量排行,17,日本製鉄,54010,550.2,-5.8,-1.04%,556.9,549.9,25181,138.5503
成交量排行,18,ＪＸ金属,50160,3962.0,92.0,2.38%,4024.0,3882.0,24382,966.0505
成交量排行,19,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,20,太陽誘電,69760,14730.0,50.0,0.34%,15365.0,14250.0,21279,3134.4409
成交量排行,21,ＳＵＭＣＯ,34360,5244.0,700.0,15.40%,5244.0,4790.0,19215,1007.6346
成交量排行,22,サンリオ,81360,1142.5,12.0,1.06%,1167.5,1103.0,18591,212.4102
成交量排行,23,伊藤忠商事,80010,1884.0,-7.5,-0.40%,1897.0,1872.0,17633,332.2227
成交量排行,24,セブン＆アイ・ホールディングス,33820,2021.5,-7.5,-0.37%,2025.5,1950.0,17044,344.5505
成交量排行,25,ソニーグループ,67580,3359.0,-50.0,-1.47%,3410.0,3337.0,17008,571.3256
成交量排行,26,古河電気工業,58010,3725.0,182.0,5.14%,3846.0,3719.0,16901,629.566
成交量排行,27,三菱重工業,70110,3818.0,13.0,0.34%,3872.0,3783.0,14270,544.8401
成交量排行,28,楽天グループ,47550,803.2,-3.5,-0.43%,815.0,797.0,14072,113.0311
成交量排行,29,ルネサスエレクトロニクス,67230,4762.0,-55.0,-1.14%,4999.0,4742.0,13112,624.4315
成交量排行,30,ソシオネクスト,65260,2850.0,186.5,7.00%,2937.5,2730.0,12771,363.9991
成交量排行,31,リベルタ,49350,365.0,43.0,13.35%,375.0,329.0,12750,46.5393
成交量排行,32,本田技研工業,72670,1495.5,-6.5,-0.43%,1525.0,1494.5,12499,186.927
成交量排行,33,イオン,82670,1377.0,-37.5,-2.65%,1409.0,1375.0,12445,171.3732
