排行類型,名次,名稱,代號,株価,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交金額排行,20,みずほフィナンシャルグループ,8411,7652,,-1.82%,,,,
成交金額排行,21,パナソニック ホールディングス,6752,4393,,-3.24%,,,,
成交金額排行,22,三井住友フィナンシャルグループ,8316,6344,,-0.74%,,,,
成交金額排行,23,ルネサスエレクトロニクス,6723,4810,,+0.21%,,,,
成交金額排行,24,古河電気工業,5801,4419,,-2.41%,,,,
成交金額排行,25,KOKUSAI ELECTRIC,6525,9977,,-0.03%,,,,
成交金額排行,26,東京海上ホールディングス,8766,7248,,+5.00%,,,,
成交金額排行,27,サンリオ,8136,1126.5,,+3.16%,,,,
成交金額排行,28,NEXT FUNDS 日経ダブルインバース上場投信,1357,2600,,-0.42%,,,,
成交金額排行,29,三菱商事,8058,4414,,+0.25%,,,,
成交金額排行,30,日立製作所,6501,4486,,+0.18%,,,,
