排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,11.0,1.0,10.00%,11.0,10.0,312167,34.3384
成交量排行,2,ＮＴＴ,94320,151.3,1.6,1.07%,151.3,149.2,183169,277.1361
成交量排行,3,日本製鉄,54010,616.9,9.1,1.50%,620.6,601.2,58130,358.6064
成交量排行,4,ソフトバンク,94340,221.6,2.1,0.96%,221.6,218.9,56673,125.5889
成交量排行,5,ソニーフィナンシャルグループ,87290,154.3,-3.5,-2.22%,157.6,154.0,51174,78.9629
成交量排行,6,ソフトバンクグループ,99840,5500.0,-418.0,-7.06%,5800.0,5411.0,43229,2377.606
成交量排行,7,三菱ＵＦＪフィナンシャル・グループ,83060,3754.0,4.0,0.11%,3774.0,3676.0,43056,1616.341
成交量排行,8,キオクシアホールディングス,285A0,56010.0,-5870.0,-9.49%,62690.0,55080.0,42385,23740.1185
成交量排行,9,日産自動車,72010,322.2,-10.1,-3.04%,326.8,321.2,31096,100.1929
成交量排行,10,東京電力ホールディングス,95010,516.7,0.1,0.02%,521.2,508.1,28624,147.9018
成交量排行,11,フジクラ,58030,4593.0,-134.0,-2.83%,4740.0,4511.0,28103,1290.7754
成交量排行,12,三菱自動車工業,72110,347.0,-25.1,-6.75%,365.7,344.0,25614,88.8806
成交量排行,13,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,14,トヨタ自動車,72030,2897.0,-53.0,-1.80%,2923.0,2877.5,23007,666.5186
成交量排行,15,村田製作所,69810,8311.0,-227.0,-2.66%,8689.0,8030.0,22737,1889.7302
成交量排行,16,メタプラネット,33500,223.0,-16.0,-6.69%,235.0,222.0,21133,47.1279
成交量排行,17,太陽誘電,69760,11415.0,-740.0,-6.09%,12250.0,10925.0,19227,2194.8305
成交量排行,18,ＳＵＭＣＯ,34360,3623.0,-121.0,-3.23%,3795.0,3552.0,17366,629.1847
成交量排行,19,ＪＸ金属,50160,3770.0,-176.0,-4.46%,3934.0,3707.0,16923,638.031
成交量排行,20,サンリオ,81360,1159.5,16.5,1.44%,1171.0,1117.5,16744,194.1502
成交量排行,21,大黒屋ホールディングス,69930,83.0,6.0,7.79%,86.0,80.0,15842,13.1489
成交量排行,22,三菱重工業,70110,3945.0,15.0,0.38%,4007.0,3898.0,14576,575.039
成交量排行,23,ＡＲＣＨＩＯＮ,543A0,280.0,-20.0,-6.67%,304.0,280.0,13631,38.1688
成交量排行,24,ＩＨＩ,70130,2878.5,-10.5,-0.36%,2963.0,2864.0,12231,352.0751
成交量排行,25,住友電気工業,58020,2469.0,-43.0,-1.71%,2474.0,2412.0,11978,295.759
成交量排行,26,ルネサスエレクトロニクス,67230,3928.0,-271.0,-6.45%,4163.0,3882.0,11628,456.7675
成交量排行,27,古河電気工業,58010,3388.0,-125.0,-3.56%,3469.0,3340.0,10763,364.6538
成交量排行,28,第一ライフグループ,87500,1925.0,19.5,1.02%,1925.0,1881.0,10758,207.0934
成交量排行,29,ソニーグループ,67580,3409.0,-36.0,-1.04%,3433.0,3360.0,10286,350.677
成交量排行,30,セブン＆アイ・ホールディングス,33820,2146.0,66.0,3.17%,2157.5,2066.5,10268,220.3534
成交量排行,31,ＬＩＮＥヤフー,46890,435.3,-1.8,-0.41%,435.3,429.9,10250,44.6183
成交量排行,32,川崎重工業,70120,2785.5,4.5,0.16%,2845.5,2761.5,10225,284.8229
成交量排行,33,伊藤忠商事,80010,1957.5,-13.5,-0.68%,1972.5,1950.0,10192,199.5084
成交量排行,34,本田技研工業,72670,1536.0,-30.5,-1.95%,1550.0,1531.0,9983,153.3496
成交量排行,35,マツダ,72610,1123.0,-36.0,-3.11%,1141.5,1109.5,9904,111.2309
成交量排行,36,楽天グループ,47550,785.6,-12.0,-1.50%,792.1,779.5,9816,77.1176
成交量排行,37,みずほフィナンシャルグループ,84110,8652.0,-114.0,-1.30%,8796.0,8613.0,9693,838.673
成交量排行,38,三井住友フィナンシャルグループ,83160,7161.0,-6.0,-0.08%,7181.0,7055.0,9570,685.3292
成交量排行,39,イビデン,40620,17370.0,-705.0,-3.90%,18770.0,16825.0,9492,1648.8646
成交量排行,40,野村ホールディングス,86040,1600.0,-24.5,-1.51%,1618.0,1591.5,9472,151.5552
成交量排行,41,住友化学,40050,538.6,-14.2,-2.57%,545.5,536.7,9395,50.6047
成交量排行,42,りそなホールディングス,83080,2365.5,15.5,0.66%,2389.0,2318.0,9381,221.9241
成交量排行,43,ＳＨＩＦＴ,36970,807.0,61.2,8.21%,807.0,746.9,9148,73.8268
成交量排行,44,アドバンテスト,68570,28945.0,-1855.0,-6.02%,30270.0,28445.0,8849,2561.4299
成交量排行,45,パナソニック　ホールディングス,67520,3883.0,-133.0,-3.31%,3955.0,3843.0,8822,342.5893
成交量排行,46,住友商事,80530,1604.0,-25.0,-1.53%,1623.0,1592.0,8791,141.0108
成交量排行,47,ＥＮＥＯＳホールディングス,50200,1320.0,-17.0,-1.27%,1342.0,1320.0,8033,106.0396
成交量排行,48,ＫＯＡ,69990,2782.0,288.0,11.55%,2922.0,2606.0,7739,215.3101
成交量排行,49,信越化学工業,40630,6702.0,-268.0,-3.85%,6840.0,6603.0,7678,514.6399
成交量排行,50,イオン,82670,1339.0,6.0,0.45%,1344.0,1306.5,7647,102.4014
成交量排行,51,ＴＤＫ,67620,3021.0,-95.0,-3.05%,3097.0,2982.5,7571,228.7411
成交量排行,52,三菱ケミカルグループ,41880,1189.0,-27.0,-2.22%,1199.0,1180.0,7376,87.703
成交量排行,53,三菱商事,80580,4918.0,2.0,0.04%,4972.0,4883.0,7225,355.3353
成交量排行,54,日立製作所,65010,4850.0,-4.0,-0.08%,4873.0,4795.0,7130,345.8487
成交量排行,55,パン・パシフィック・インターナショナルホールディングス,75320,862.7,6.5,0.76%,871.0,843.8,6927,59.7627
成交量排行,56,東宝,96020,1446.5,88.0,6.48%,1449.0,1348.0,6841,98.9666
成交量排行,57,スズキ,72690,1968.5,-75.5,-3.69%,2015.0,1960.5,6786,133.6001
成交量排行,58,ＩＮＰＥＸ,16050,3761.0,64.0,1.73%,3761.0,3691.0,6774,254.7814
成交量排行,59,ＫＤＤＩ,94330,2922.5,52.0,1.81%,2927.0,2840.5,6594,192.7301
成交量排行,60,三井不動産,88010,1550.0,0.0,0.00%,1557.0,1526.0,6189,95.9342
成交量排行,61,日本郵政,61780,2485.5,25.0,1.02%,2496.0,2426.0,6080,151.1408
成交量排行,62,フェローテック,68900,8920.0,-20.0,-0.22%,9280.0,8580.0,6071,541.5332
成交量排行,63,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,8563.0,-545.0,-5.98%,9108.0,8455.0,6023,515.7752
成交量排行,64,安川電機,65060,5117.0,-218.0,-4.09%,5305.0,5078.0,6000,307.0405
成交量排行,65,アサヒグループホールディングス,25020,1648.0,16.5,1.01%,1655.5,1619.0,5891,97.087
成交量排行,66,ソシオネクスト,65260,2392.5,-81.0,-3.27%,2508.5,2369.0,5886,140.8393
成交量排行,67,パーソルホールディングス,21810,259.9,2.1,0.81%,260.2,253.6,5875,15.2691
成交量排行,68,ゆうちょ銀行,71820,3442.0,-5.0,-0.15%,3465.0,3383.0,5613,193.1995
成交量排行,69,ＵＴグループ,21460,181.0,2.0,1.12%,181.0,178.0,5558,10.0602
成交量排行,70,三井物産,80310,4966.0,-4.0,-0.08%,5018.0,4931.0,5354,265.9243
成交量排行,71,セブン銀行,84100,310.6,2.0,0.65%,313.5,304.8,5333,16.5668
成交量排行,72,テスホールディングス,50740,723.0,-81.0,-10.07%,797.0,708.0,5246,37.9293
成交量排行,73,デンソー,69020,1977.0,-16.0,-0.80%,1980.5,1963.5,5223,103.2706
成交量排行,74,ＹＥ　ＤＩＧＩＴＡＬ,23540,1600.0,160.0,11.11%,1600.0,1298.0,5026,80.4224
成交量排行,75,リベルタ,49350,312.0,12.0,4.00%,328.0,289.0,5025,15.6796
成交量排行,76,オリエンタルランド,46610,2682.5,52.5,2.00%,2687.0,2603.5,4954,132.8911
成交量排行,77,任天堂,79740,6969.0,-32.0,-0.46%,7025.0,6910.0,4921,342.9863
成交量排行,78,日本コークス工業,33150,95.0,-3.0,-3.06%,98.0,94.0,4891,4.647
成交量排行,79,ディスコ,61460,60890.0,-8520.0,-12.27%,63020.0,59420.0,4862,2960.4718
成交量排行,80,ＭＳ＆ＡＤインシュアランスグループホールディングス,87250,4898.0,25.0,0.51%,4898.0,4781.0,4857,237.9399
成交量排行,81,東京海上ホールディングス,87660,8116.0,158.0,1.99%,8155.0,7944.0,4747,385.3071
成交量排行,82,ファナック,69540,6624.0,-314.0,-4.53%,6860.0,6577.0,4740,314.0372
成交量排行,83,日本ペイントホールディングス,46120,1120.5,-14.5,-1.28%,1128.0,1112.5,4716,52.8506
成交量排行,84,ＺＯＺＯ,30920,1124.5,5.0,0.45%,1126.0,1102.5,4712,52.9954
成交量排行,85,第一三共,45680,2799.5,44.5,1.62%,2819.5,2725.5,4708,131.8061
成交量排行,86,アステラス製薬,45030,2166.5,5.5,0.25%,2172.0,2131.5,4657,100.8939
成交量排行,87,ＪＦＥホールディングス,54110,1726.0,-3.0,-0.17%,1729.0,1705.5,4645,80.1744
成交量排行,88,日本たばこ産業,29140,6461.0,92.0,1.44%,6481.0,6362.0,4635,299.5126
成交量排行,89,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,23150,60.0,-2.0,-3.23%,65.0,59.0,4566,2.7397
成交量排行,90,シャープ,67530,586.8,-23.5,-3.85%,605.4,586.5,4402,25.8345
成交量排行,91,富士通,67020,3279.0,35.0,1.08%,3288.0,3216.0,4380,143.6399
成交量排行,92,ニデック,65940,2549.0,-7.0,-0.27%,2588.0,2510.0,4283,109.1839
