排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,341823,34.1823
成交量排行,2,ＮＴＴ,94320,151.1,0.2,0.13%,152.8,151.1,286935,433.5589
成交量排行,3,ソフトバンク,94340,220.5,0.9,0.41%,223.0,218.7,95105,209.707
成交量排行,4,ソフトバンクグループ,99840,5424.0,-537.0,-9.01%,5676.0,5191.0,70204,3807.8758
成交量排行,5,三菱ＵＦＪフィナンシャル・グループ,83060,3473.0,-156.0,-4.30%,3618.0,3411.0,59061,2051.2059
成交量排行,6,ソニーフィナンシャルグループ,87290,154.7,-1.7,-1.09%,155.7,153.1,55930,86.5239
成交量排行,7,フジクラ,58030,4472.0,-289.0,-6.07%,4611.0,4280.0,47075,2105.2119
成交量排行,8,村田製作所,69810,7632.0,-768.0,-9.14%,8021.0,7270.0,43867,3347.96
成交量排行,9,日本製鉄,54010,585.6,5.4,0.93%,587.9,579.4,42824,250.7773
成交量排行,10,日産自動車,72010,329.3,0.3,0.09%,332.4,322.7,42164,138.8487
成交量排行,11,東京電力ホールディングス,95010,506.6,5.0,1.00%,507.0,490.1,42140,213.4858
成交量排行,12,キオクシアホールディングス,285A0,52110.0,-10000.0,-16.10%,56750.0,52110.0,41502,21626.6922
成交量排行,13,トヨタ自動車,72030,2899.5,-9.5,-0.33%,2913.5,2857.0,35779,1037.4266
成交量排行,14,ジャパンディスプレイ,67400,46.0,-3.0,-6.12%,49.0,45.0,33377,15.3536
成交量排行,15,サンリオ,81360,1204.5,-12.0,-0.99%,1261.0,1197.0,30466,366.969
成交量排行,16,太陽誘電,69760,11035.0,-1490.0,-11.90%,11550.0,10150.0,29786,3286.9182
成交量排行,17,ＪＸ金属,50160,3558.0,-294.0,-7.63%,3661.0,3361.0,28586,1017.097
成交量排行,18,古河電気工業,58010,3262.0,-212.0,-6.10%,3309.0,3079.0,23584,769.3329
成交量排行,19,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
