排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,328599,32.8599
成交量排行,2,ＮＴＴ,94320,149.7,-2.3,-1.51%,151.2,149.3,180246,269.8296
成交量排行,3,ソニーフィナンシャルグループ,87290,157.8,-2.0,-1.25%,160.8,156.7,62826,99.1396
成交量排行,4,ソフトバンク,94340,219.5,-1.9,-0.86%,221.6,218.3,61954,135.9895
成交量排行,5,三菱ＵＦＪフィナンシャル・グループ,83060,3750.0,82.0,2.24%,3778.0,3625.0,58063,2177.3663
成交量排行,6,日本製鉄,54010,607.8,8.8,1.47%,610.8,598.3,43422,263.9207
成交量排行,7,キオクシアホールディングス,285A0,61880.0,-2390.0,-3.72%,67190.0,61150.0,39277,24304.6695
成交量排行,8,ソフトバンクグループ,99840,5918.0,215.0,3.77%,5928.0,5687.0,38653,2287.5319
成交量排行,9,東京電力ホールディングス,95010,516.6,11.3,2.24%,524.6,505.5,33282,171.9389
成交量排行,10,フジクラ,58030,4727.0,-24.0,-0.51%,4935.0,4652.0,31624,1494.8759
成交量排行,11,ＡＲＣＨＩＯＮ,543A0,300.0,-4.0,-1.32%,322.0,284.0,29132,87.3969
成交量排行,12,村田製作所,69810,8538.0,221.0,2.66%,8817.0,8507.0,28657,2446.7603
成交量排行,13,トヨタ自動車,72030,2950.0,11.0,0.37%,2950.0,2913.5,24503,722.8533
成交量排行,14,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,15,太陽誘電,69760,12155.0,-380.0,-3.03%,12890.0,11965.0,21347,2594.7522
成交量排行,16,ＪＸ金属,50160,3946.0,175.0,4.64%,3987.0,3793.0,21195,836.3586
成交量排行,17,メタプラネット,33500,239.0,-14.0,-5.53%,253.0,238.0,20801,49.7144
成交量排行,18,日産自動車,72010,332.3,-2.0,-0.60%,333.9,327.5,19174,63.7179
成交量排行,19,住友電気工業,58020,2512.0,61.0,2.49%,2537.0,2452.5,17118,430.0092
成交量排行,20,三菱自動車工業,72110,372.1,-11.6,-3.02%,373.8,365.0,15823,58.8785
成交量排行,21,ＳＵＭＣＯ,34360,3744.0,-41.0,-1.08%,4023.0,3724.0,15702,587.9091
成交量排行,22,三菱重工業,70110,3930.0,38.0,0.98%,3930.0,3851.0,15068,592.1763
成交量排行,23,サンリオ,81360,1143.0,11.5,1.02%,1159.5,1120.0,13707,156.6722
成交量排行,24,川崎重工業,70120,2781.0,44.5,1.63%,2811.5,2760.0,13241,368.2378
成交量排行,25,三井住友フィナンシャルグループ,83160,7167.0,95.0,1.34%,7212.0,6999.0,13222,947.6709
成交量排行,26,みずほフィナンシャルグループ,84110,8766.0,237.0,2.78%,8816.0,8531.0,12807,1122.7142
成交量排行,27,第一ライフグループ,87500,1905.5,8.5,0.45%,1905.5,1877.5,12536,238.8906
成交量排行,28,ジャパンディスプレイ,67400,47.0,0.0,0.00%,48.0,46.0,12403,5.8298
成交量排行,29,ＩＨＩ,70130,2889.0,110.0,3.96%,2927.0,2798.0,12137,350.6553
成交量排行,30,ソニーグループ,67580,3445.0,1.0,0.03%,3452.0,3413.0,11688,402.6654
成交量排行,31,伊藤忠商事,80010,1971.0,7.0,0.36%,1981.5,1962.0,11485,226.3772
成交量排行,32,ＬＩＮＥヤフー,46890,437.1,-5.5,-1.24%,442.7,436.0,11244,49.1484
成交量排行,33,古河電気工業,58010,3513.0,-12.0,-0.34%,3675.0,3460.0,10401,365.3942
成交量排行,34,りそなホールディングス,83080,2350.0,28.0,1.21%,2375.5,2306.0,10263,241.1993
