排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,345032,34.5032
成交量排行,2,ＮＴＴ,94320,150.9,0.9,0.60%,151.6,150.0,190184,286.9881
成交量排行,3,ソフトバンク,94340,219.6,-0.4,-0.18%,223.0,218.7,84607,185.7981
成交量排行,4,ソニーフィナンシャルグループ,87290,156.4,-1.6,-1.01%,159.9,156.1,78924,123.4376
成交量排行,5,ソフトバンクグループ,99840,5961.0,-399.0,-6.27%,6145.0,5858.0,46792,2789.2771
成交量排行,6,キオクシアホールディングス,285A0,62110.0,-10990.0,-15.03%,69300.0,61520.0,45331,28155.2704
成交量排行,7,日産自動車,72010,329.0,12.0,3.79%,330.9,314.2,43093,141.777
成交量排行,8,三菱ＵＦＪフィナンシャル・グループ,83060,3629.0,-68.0,-1.84%,3697.0,3625.0,38374,1392.5925
成交量排行,9,フジクラ,58030,4761.0,-384.0,-7.46%,5004.0,4738.0,36029,1715.3645
成交量排行,10,ジャパンディスプレイ,67400,49.0,-1.0,-2.00%,51.0,48.0,31085,15.2317
成交量排行,11,トヨタ自動車,72030,2909.0,33.5,1.17%,2935.5,2858.5,29732,864.9097
成交量排行,12,東京電力ホールディングス,95010,501.6,-7.1,-1.40%,508.6,492.2,29249,146.7135
成交量排行,13,日本製鉄,54010,580.2,5.9,1.03%,581.8,571.1,28666,166.3213
成交量排行,14,太陽誘電,69760,12525.0,-80.0,-0.63%,13135.0,11960.0,27191,3405.7354
成交量排行,15,村田製作所,69810,8400.0,-700.0,-7.69%,8838.0,8350.0,23684,1989.5064
成交量排行,16,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,17,サンリオ,81360,1216.5,38.0,3.22%,1238.0,1173.5,22971,279.4446
成交量排行,18,三菱自動車工業,72110,389.2,23.5,6.43%,392.0,362.0,21335,83.0393
成交量排行,19,住友電気工業,58020,2397.5,-134.5,-5.31%,2424.0,2327.5,20928,501.7536
成交量排行,20,ＪＸ金属,50160,3852.0,-282.0,-6.82%,3982.0,3808.0,17857,687.8632
成交量排行,21,三菱重工業,70110,3823.0,-5.0,-0.13%,3900.0,3797.0,17525,669.9846
成交量排行,22,川崎重工業,70120,2737.5,12.0,0.44%,2797.5,2708.0,16818,460.4092
成交量排行,23,ＳＵＭＣＯ,34360,4614.0,-460.0,-9.07%,4919.0,4504.0,16800,775.1889
成交量排行,24,ＳＨＩＦＴ,36970,679.8,-22.1,-3.15%,750.4,673.3,16347,111.1276
成交量排行,25,メタプラネット,33500,233.0,-13.0,-5.28%,246.0,230.0,16081,37.4697
成交量排行,26,本田技研工業,72670,1558.5,47.0,3.11%,1563.5,1506.0,15957,248.6961
成交量排行,27,古河電気工業,58010,3474.0,-292.0,-7.75%,3600.0,3455.0,15717,546.0121
成交量排行,28,ＬＩＮＥヤフー,46890,455.0,9.0,2.02%,459.8,444.0,14912,67.851
成交量排行,29,ソニーグループ,67580,3438.0,49.0,1.45%,3450.0,3375.0,14759,507.4419
成交量排行,30,日立製作所,65010,4828.0,32.0,0.67%,4894.0,4726.0,13955,673.7522
成交量排行,31,ＴＤＫ,67620,3085.0,-161.0,-4.96%,3174.0,3085.0,13950,430.3698
成交量排行,32,安川電機,65060,5494.0,4.0,0.07%,5688.0,5427.0,13689,752.0792
成交量排行,33,ルネサスエレクトロニクス,67230,4139.0,-320.0,-7.18%,4311.0,4136.0,13442,556.3809
成交量排行,34,三井住友フィナンシャルグループ,83160,7030.0,-91.0,-1.28%,7116.0,6999.0,12956,910.856
成交量排行,35,東宝,96020,1397.5,52.5,3.90%,1413.0,1337.5,12387,173.1097
成交量排行,36,楽天グループ,47550,809.2,-0.9,-0.11%,827.7,804.7,12363,100.0479
成交量排行,37,野村ホールディングス,86040,1609.0,-17.0,-1.05%,1636.0,1591.0,12334,198.4573
成交量排行,38,富士通,67020,3257.0,39.0,1.21%,3294.0,3191.0,11778,383.6127
成交量排行,39,伊藤忠商事,80010,1919.5,-16.5,-0.85%,1945.5,1909.5,10554,202.5994
成交量排行,40,ＩＨＩ,70130,2809.0,-2.5,-0.09%,2866.5,2794.0,10073,282.9674
成交量排行,41,セブン＆アイ・ホールディングス,33820,2007.0,43.0,2.19%,2014.5,1945.5,9211,184.8748
成交量排行,42,パナソニック　ホールディングス,67520,4218.0,-100.0,-2.32%,4312.0,4194.0,9118,384.6015
成交量排行,43,アドバンテスト,68570,29640.0,-1870.0,-5.93%,30770.0,29050.0,8916,2642.9099
成交量排行,44,任天堂,79740,7080.0,66.0,0.94%,7120.0,6990.0,8822,624.6542
成交量排行,45,日本電気,67010,4441.0,171.0,4.00%,4510.0,4300.0,8611,382.4545
成交量排行,46,住友商事,80530,1583.0,-7.0,-0.44%,1601.0,1562.5,8522,134.9033
成交量排行,47,パン・パシフィック・インターナショナルホールディングス,75320,869.0,10.5,1.22%,892.2,864.1,8272,71.8845
成交量排行,48,住友化学,40050,541.0,-7.7,-1.40%,551.8,541.0,8043,43.5132
成交量排行,49,大黒屋ホールディングス,69930,82.0,-5.0,-5.75%,87.0,82.0,7794,6.3917
成交量排行,50,ソシオネクスト,65260,2472.5,-99.5,-3.87%,2525.0,2421.0,7734,191.2405
成交量排行,51,イオン,82670,1371.0,4.5,0.33%,1398.0,1358.5,7594,104.1137
成交量排行,52,りそなホールディングス,83080,2354.0,-25.5,-1.07%,2389.5,2346.5,7591,178.7016
成交量排行,53,イビデン,40620,17405.0,-1935.0,-10.01%,18815.0,17335.0,7583,1319.9082
成交量排行,54,ＫＤＤＩ,94330,2844.0,-8.5,-0.30%,2875.5,2835.0,7520,213.8916
成交量排行,55,三井不動産,88010,1549.0,-5.0,-0.32%,1572.0,1542.5,7414,114.8429
成交量排行,56,みずほフィナンシャルグループ,84110,8440.0,-184.0,-2.13%,8607.0,8410.0,7409,625.3365
成交量排行,57,テイツー,76100,151.0,3.0,2.03%,165.0,150.0,7388,11.1566
成交量排行,58,マツダ,72610,1136.0,23.5,2.11%,1142.0,1113.0,7287,82.7826
成交量排行,59,アサヒグループホールディングス,25020,1583.0,-5.0,-0.31%,1588.5,1571.0,7192,113.8525
成交量排行,60,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,9890.0,-960.0,-8.85%,10430.0,9753.0,7191,711.2393
成交量排行,61,アステラス製薬,45030,2148.0,6.0,0.28%,2168.5,2133.0,7147,153.5304
成交量排行,62,第一ライフグループ,87500,1836.5,-47.5,-2.52%,1877.0,1835.5,7076,129.9562
成交量排行,63,スズキ,72690,2052.0,26.5,1.31%,2071.0,2015.5,6394,131.209
成交量排行,64,良品計画,74530,4370.0,204.0,4.90%,4429.0,4285.0,6377,278.7099
成交量排行,65,ＥＮＥＯＳホールディングス,50200,1274.0,-9.0,-0.70%,1285.5,1265.0,6198,78.9651
成交量排行,66,三菱商事,80580,4530.0,-55.0,-1.20%,4605.0,4500.0,6070,274.9755
成交量排行,67,ゆうちょ銀行,71820,3258.0,-92.0,-2.75%,3338.0,3254.0,6012,195.8775
成交量排行,68,ニチレイ,28710,2026.5,86.5,4.46%,2088.5,2016.5,6003,121.665
成交量排行,69,ＭＳ＆ＡＤインシュアランスグループホールディングス,87250,4553.0,-21.0,-0.46%,4602.0,4528.0,6001,273.262
成交量排行,70,オリエンタルランド,46610,2695.0,73.0,2.78%,2704.0,2643.5,5993,161.5194
成交量排行,71,ヤマハ発動機,72720,1281.5,23.0,1.83%,1289.5,1247.5,5893,75.5265
成交量排行,72,ファナック,69540,7020.0,12.0,0.17%,7059.0,6885.0,5808,407.7778
成交量排行,73,第一三共,45680,2746.5,69.5,2.60%,2759.0,2663.0,5675,155.8639
成交量排行,74,信越化学工業,40630,7361.0,-329.0,-4.28%,7502.0,7287.0,5529,407.0044
成交量排行,75,デンソー,69020,1975.5,22.0,1.13%,1980.0,1945.0,5430,107.2716
成交量排行,76,三井物産,80310,4738.0,-86.0,-1.78%,4809.0,4729.0,5420,256.7996
成交量排行,77,武田薬品工業,45020,5345.0,57.0,1.08%,5385.0,5278.0,5369,287.0212
成交量排行,78,セブン銀行,84100,303.3,-1.1,-0.36%,305.4,302.6,5176,15.6994
成交量排行,79,日本たばこ産業,29140,6195.0,85.0,1.39%,6249.0,6115.0,5158,319.5567
成交量排行,80,東京エレクトロン,80350,70890.0,-3350.0,-4.51%,71680.0,68840.0,5153,3653.1035
成交量排行,81,京セラ,69710,3632.0,7.0,0.19%,3650.0,3546.0,5121,186.0274
成交量排行,82,ヤマダホールディングス,98310,679.1,-2.8,-0.41%,695.0,673.8,5036,34.2002
成交量排行,83,パーソルホールディングス,21810,262.3,2.7,1.04%,263.5,258.7,4934,12.9419
成交量排行,84,ＪＦＥホールディングス,54110,1696.5,17.5,1.04%,1704.5,1673.0,4932,83.6731
成交量排行,85,日本郵政,61780,2388.0,-19.5,-0.81%,2405.5,2374.5,4923,117.5756
成交量排行,86,三菱ケミカルグループ,41880,1202.5,-19.5,-1.60%,1215.0,1186.5,4681,56.2938
成交量排行,87,ＵＴグループ,21460,180.0,-2.0,-1.10%,184.0,179.0,4651,8.3725
成交量排行,88,荏原製作所,63610,5830.0,-400.0,-6.42%,6103.0,5727.0,4581,267.0898
成交量排行,89,大和証券グループ本社,86010,1875.5,-3.5,-0.19%,1886.5,1859.0,4533,85.0314
成交量排行,90,住友林業,19110,1365.5,9.5,0.70%,1377.0,1351.5,4327,59.092
成交量排行,91,ＳＢＩホールディングス,84730,2839.5,6.0,0.21%,2877.0,2820.0,4312,122.4648
成交量排行,92,レーザーテック,69200,46370.0,-3320.0,-6.68%,47860.0,45330.0,4197,1946.1953
成交量排行,93,ＳＣＲＥＥＮホールディングス,77350,18770.0,-160.0,-0.85%,18960.0,17620.0,4103,770.1706
成交量排行,94,三菱電機,65030,5666.0,-98.0,-1.70%,5737.0,5650.0,4058,229.9546
成交量排行,95,日東紡績,31100,3280.0,-275.0,-7.74%,3450.0,3255.0,4036,132.3874
成交量排行,96,ニデック,65940,2583.0,-43.0,-1.64%,2618.0,2569.0,4036,104.2499
成交量排行,97,テスホールディングス,50740,797.0,-85.0,-9.64%,865.0,787.0,3992,31.817
成交量排行,98,ＺＯＺＯ,30920,1186.5,16.5,1.41%,1194.5,1152.5,3934,46.6805
成交量排行,99,ベイカレント,65320,6755.0,372.0,5.83%,6960.0,6387.0,3906,263.8773
成交量排行,100,資生堂,49110,3024.0,39.5,1.32%,3104.0,3013.0,3881,117.3766
漲幅排行,1,ＹＥ　ＤＩＧＩＴＡＬ,23540,978.0,150.0,18.12%,978.0,820.0,231,2.265
漲幅排行,2,オープングループ,65720,259.0,39.0,17.73%,260.0,234.0,2940,7.6151
漲幅排行,3,東洋電機製造,65050,2369.0,353.0,17.51%,2447.0,2312.0,552,13.0816
漲幅排行,4,サイゼリヤ,75810,6780.0,1000.0,17.30%,6780.0,6780.0,346,23.4859
漲幅排行,5,ユニシアホールディングス,35470,1795.0,194.0,12.12%,1807.0,1700.0,255,4.5773
漲幅排行,6,インターライフホールディングス,14180,595.0,63.0,11.84%,632.0,584.0,1001,5.9559
漲幅排行,7,イーレックス,95170,900.0,76.0,9.22%,904.0,853.0,929,8.3691
漲幅排行,8,日本化学工業,40920,5140.0,410.0,8.67%,5230.0,4680.0,662,34.0319
漲幅排行,9,ユニバンス,72540,804.0,61.0,8.21%,812.0,752.0,17,0.1399
漲幅排行,10,ギフトホールディングス,92790,4970.0,370.0,8.04%,5030.0,4750.0,199,9.9002
漲幅排行,11,ホリイフードサービス,30770,899.0,59.0,7.02%,949.0,841.0,60,0.5403
漲幅排行,12,三菱自動車工業,72110,389.2,23.5,6.43%,392.0,362.0,21335,83.0393
漲幅排行,13,ＧＳＩクレオス,81010,2580.0,155.0,6.39%,2676.0,2535.0,274,7.0898
漲幅排行,14,前澤化成工業,79250,1926.0,111.0,6.12%,1951.0,1782.0,91,1.7623
漲幅排行,15,フューチャー,47220,2150.0,119.0,5.86%,2204.0,2066.0,1354,29.1153
漲幅排行,16,ベイカレント,65320,6755.0,372.0,5.83%,6960.0,6387.0,3906,263.8773
漲幅排行,17,マネーフォワード,39940,5250.0,286.0,5.76%,5535.0,5195.0,1061,55.713
漲幅排行,18,アゴーラ　ホスピタリティー　グループ,97040,37.0,2.0,5.71%,38.0,34.0,2305,0.853
漲幅排行,19,ウイングアーク１ｓｔ,44320,2839.0,149.0,5.54%,2854.0,2725.0,603,17.1419
漲幅排行,20,アップガレージグループ,71340,1411.0,74.0,5.53%,1430.0,1367.0,39,0.5545
漲幅排行,21,ＳＢＳホールディングス,23840,4535.0,235.0,5.47%,4545.0,4315.0,202,9.197
漲幅排行,22,買取王国,31810,1042.0,53.0,5.36%,1049.0,999.0,22,0.2334
漲幅排行,23,テクニスコ,29620,1372.0,69.0,5.30%,1428.0,1262.0,277,3.8004
