排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,328839,32.8839
成交量排行,2,ＮＴＴ,94320,148.0,1.0,0.68%,148.5,146.3,224750,332.6301
成交量排行,3,ソフトバンク,94340,211.6,1.2,0.57%,212.6,209.8,93421,197.6801
成交量排行,4,ソニーフィナンシャルグループ,87290,150.5,1.5,1.01%,151.1,149.3,85927,129.3201
成交量排行,5,三菱ＵＦＪフィナンシャル・グループ,83060,3446.0,76.0,2.26%,3518.0,3426.0,53306,1836.942
成交量排行,6,キオクシアホールディングス,285A0,72400.0,-9190.0,-11.26%,79470.0,71120.0,46495,33662.38
成交量排行,7,ソフトバンクグループ,99840,5771.0,-208.0,-3.48%,6113.0,5691.0,45979,2653.4596
成交量排行,8,村田製作所,69810,9212.0,-1038.0,-10.13%,10380.0,9181.0,43829,4037.592
成交量排行,9,トヨタ自動車,72030,2946.0,23.0,0.79%,2980.0,2925.0,36408,1072.5885
成交量排行,10,フジクラ,58030,5072.0,-282.0,-5.27%,5370.0,5050.0,35968,1824.3223
成交量排行,11,日産自動車,72010,321.8,2.7,0.85%,329.9,319.8,34389,110.6664
成交量排行,12,ジャパンディスプレイ,67400,53.0,-3.0,-5.36%,56.0,52.0,33247,17.6212
成交量排行,13,東京電力ホールディングス,95010,462.3,-6.5,-1.39%,470.2,456.0,28725,132.798
成交量排行,14,日本製鉄,54010,560.3,1.3,0.23%,562.9,555.6,27470,153.9195
成交量排行,15,本田技研工業,72670,1570.5,-28.5,-1.78%,1602.0,1562.5,27073,425.1909
成交量排行,16,住友電気工業,58020,2443.0,-149.5,-5.77%,2620.0,2423.5,26810,654.9854
成交量排行,17,ＪＸ金属,50160,3855.0,-167.0,-4.15%,4169.0,3810.0,25241,973.0483
成交量排行,18,三菱重工業,70110,4009.0,-101.0,-2.46%,4146.0,3986.0,24665,988.8359
成交量排行,19,ルネサスエレクトロニクス,67230,4744.0,34.0,0.72%,4998.0,4652.0,24567,1165.5012
成交量排行,20,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,21,ＳＵＭＣＯ,34360,4570.0,-601.0,-11.62%,5133.0,4537.0,23114,1056.3281
成交量排行,22,サンリオ,81360,1151.0,-4.0,-0.35%,1168.0,1120.0,22351,257.2658
成交量排行,23,ソニーグループ,67580,3502.0,80.0,2.34%,3516.0,3411.0,21078,738.1761
成交量排行,24,日立製作所,65010,4942.0,137.0,2.85%,5004.0,4790.0,20014,989.1018
成交量排行,25,太陽誘電,69760,16355.0,-2030.0,-11.04%,18330.0,15965.0,19738,3228.1663
成交量排行,26,メタプラネット,33500,226.0,-1.0,-0.44%,239.0,221.0,19669,44.4531
成交量排行,27,ＩＨＩ,70130,2982.0,-89.0,-2.90%,3150.0,2955.5,18813,561.0216
成交量排行,28,楽天グループ,47550,792.1,15.5,2.00%,795.4,769.5,17912,141.881
成交量排行,29,ＫＬａｂ,36560,217.0,-24.0,-9.96%,235.0,215.0,17313,37.5712
成交量排行,30,野村ホールディングス,86040,1535.0,45.0,3.02%,1546.5,1504.0,17154,263.32
成交量排行,31,伊藤忠商事,80010,1904.0,10.5,0.55%,1929.5,1900.5,16381,311.9
成交量排行,32,ＬＩＮＥヤフー,46890,445.1,6.4,1.46%,445.8,437.4,15999,71.2124
成交量排行,33,古河電気工業,58010,3674.0,-214.0,-5.50%,3900.0,3656.0,15860,582.7148
成交量排行,34,ＴＤＫ,67620,3357.0,-144.0,-4.11%,3513.0,3332.0,15859,532.4135
成交量排行,35,三井住友フィナンシャルグループ,83160,6812.0,12.0,0.18%,6970.0,6812.0,15527,1057.7061
成交量排行,36,大黒屋ホールディングス,69930,88.0,2.0,2.33%,92.0,86.0,15520,13.6583
成交量排行,37,住友商事,80530,1609.5,18.5,1.16%,1650.5,1600.0,14751,237.4206
成交量排行,38,パナソニック　ホールディングス,67520,4400.0,-157.0,-3.45%,4587.0,4353.0,14299,629.156
成交量排行,39,川崎重工業,70120,2938.0,-65.0,-2.16%,3030.0,2913.0,14278,419.4994
成交量排行,40,パン・パシフィック・インターナショナルホールディングス,75320,866.7,14.0,1.64%,869.8,838.1,13886,120.3517
成交量排行,41,りそなホールディングス,83080,2326.0,43.0,1.88%,2416.5,2314.5,13396,311.5956
成交量排行,42,みずほフィナンシャルグループ,84110,8227.0,32.0,0.39%,8551.0,8227.0,11405,938.3634
成交量排行,43,三菱商事,80580,4500.0,-7.0,-0.16%,4662.0,4495.0,11064,497.8935
成交量排行,44,ＫＤＤＩ,94330,2779.0,41.5,1.52%,2779.0,2691.5,10493,291.6171
成交量排行,45,住友化学,40050,535.8,-16.6,-3.01%,558.6,533.6,10432,55.8989
成交量排行,46,川崎汽船,91070,2519.5,-99.5,-3.80%,2530.0,2409.0,10165,256.1097
成交量排行,47,イオン,82670,1462.0,7.0,0.48%,1477.0,1439.5,9722,142.1371
成交量排行,48,スズキ,72690,2129.5,-15.0,-0.70%,2200.0,2126.5,9560,203.5845
成交量排行,49,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,10240.0,-1030.0,-9.14%,11450.0,10240.0,9479,970.6906
成交量排行,50,ソシオネクスト,65260,2643.0,-57.0,-2.11%,2721.5,2595.0,9441,249.5415
成交量排行,51,三井不動産,88010,1571.5,16.0,1.03%,1584.5,1558.5,9424,148.106
成交量排行,52,三菱自動車工業,72110,340.0,-3.2,-0.93%,343.5,335.0,9331,31.7285
成交量排行,53,第一ライフグループ,87500,1859.5,-16.0,-0.85%,1903.0,1853.5,9225,171.5389
成交量排行,54,東レ,34020,1170.5,-4.5,-0.38%,1170.5,1140.0,8986,105.1905
成交量排行,55,デンソー,69020,1985.0,-7.0,-0.35%,2018.0,1972.0,8806,174.7991
成交量排行,56,ゆうちょ銀行,71820,3307.0,45.0,1.38%,3402.0,3303.0,8416,278.3237
成交量排行,57,日本電気,67010,4348.0,1.0,0.02%,4409.0,4288.0,8349,363.0232
成交量排行,58,三井物産,80310,4677.0,10.0,0.21%,4791.0,4650.0,8180,382.5973
成交量排行,59,任天堂,79740,7148.0,115.0,1.64%,7199.0,7083.0,8083,577.8014
成交量排行,60,京セラ,69710,3741.0,-133.0,-3.43%,3848.0,3705.0,7918,296.2348
成交量排行,61,アドバンテスト,68570,28900.0,-665.0,-2.25%,30120.0,28625.0,7803,2255.3271
成交量排行,62,日本郵政,61780,2355.5,29.5,1.27%,2372.5,2331.0,7757,182.7256
成交量排行,63,イビデン,40620,19895.0,-1495.0,-6.99%,21620.0,19670.0,7742,1540.3704
成交量排行,64,セブン＆アイ・ホールディングス,33820,2057.0,-26.0,-1.25%,2090.0,2048.5,7727,158.9567
成交量排行,65,第一三共,45680,2719.0,-39.0,-1.41%,2770.0,2715.5,7719,209.8986
成交量排行,66,信越化学工業,40630,7158.0,-257.0,-3.47%,7460.0,7115.0,7655,547.9521
成交量排行,67,マツダ,72610,1145.0,-20.5,-1.76%,1181.0,1137.5,7445,85.2464
成交量排行,68,ＳＢＩホールディングス,84730,2738.0,-15.0,-0.54%,2842.0,2738.0,7092,194.179
成交量排行,69,良品計画,74530,3811.0,141.0,3.84%,3856.0,3631.0,6982,266.0878
成交量排行,70,日東紡績,31100,3570.0,55.0,1.56%,3870.0,3525.0,6927,247.3153
成交量排行,71,アステラス製薬,45030,2174.5,-33.5,-1.52%,2198.0,2164.5,6880,149.6078
成交量排行,72,ＳＨＩＦＴ,36970,705.9,21.8,3.19%,722.3,687.5,6802,48.021
成交量排行,73,三菱ケミカルグループ,41880,1193.5,-14.0,-1.16%,1204.5,1181.0,6774,80.8537
成交量排行,74,富士通,67020,3392.0,43.0,1.28%,3415.0,3340.0,6628,224.8218
成交量排行,75,ヤマハ発動機,72720,1283.0,9.0,0.71%,1287.0,1271.0,6587,84.5151
成交量排行,76,パーソルホールディングス,21810,258.3,-1.1,-0.42%,261.3,258.3,6395,16.5183
成交量排行,77,ＥＮＥＯＳホールディングス,50200,1248.5,-11.5,-0.91%,1279.5,1245.0,6384,79.7155
成交量排行,78,ファナック,69540,7072.0,-405.0,-5.42%,7372.0,7048.0,6370,450.5288
成交量排行,79,丸紅,80020,5048.0,22.0,0.44%,5162.0,5033.0,6195,312.7286
成交量排行,80,オリエンタルランド,46610,2584.5,23.0,0.90%,2589.0,2537.5,6120,158.1947
成交量排行,81,大和証券グループ本社,86010,1762.5,49.0,2.86%,1762.5,1727.0,6051,106.6647
成交量排行,82,アサヒグループホールディングス,25020,1610.5,8.5,0.53%,1613.0,1581.0,5843,94.1128
成交量排行,83,セブン銀行,84100,293.1,2.9,1.00%,294.4,291.6,5662,16.5956
成交量排行,84,日本たばこ産業,29140,6219.0,30.0,0.48%,6219.0,6105.0,5656,351.7964
成交量排行,85,ＪＦＥホールディングス,54110,1654.0,0.0,0.00%,1673.0,1643.0,5634,93.1913
成交量排行,86,ローム,69630,5361.0,-421.0,-7.28%,5787.0,5303.0,5552,297.6749
成交量排行,87,三菱電機,65030,5947.0,-96.0,-1.59%,6171.0,5896.0,5447,323.939
成交量排行,88,中部電力,95020,3234.0,34.0,1.06%,3254.0,3186.0,5414,175.0952
成交量排行,89,オリンパス,77330,1790.0,26.0,1.47%,1805.0,1755.5,5393,96.5472
成交量排行,90,サイバーエージェント,47510,1560.0,22.5,1.46%,1574.0,1524.5,5376,83.8687
成交量排行,91,東京海上ホールディングス,87660,7716.0,-94.0,-1.20%,7935.0,7716.0,5357,413.377
成交量排行,92,コニカミノルタ,49020,589.4,2.4,0.41%,604.9,581.0,5249,30.9382
成交量排行,93,ミネベアミツミ,64790,4372.0,-128.0,-2.84%,4560.0,4322.0,5217,228.1222
成交量排行,94,ＭＳ＆ＡＤインシュアランスグループホールディングス,87250,4534.0,-18.0,-0.40%,4594.0,4502.0,5176,234.698
成交量排行,95,ＳＢＩ新生銀行,83030,1498.0,31.0,2.11%,1532.0,1488.5,5157,77.2534
成交量排行,96,ＵＴグループ,21460,178.0,1.0,0.56%,180.0,176.0,5082,9.0476
成交量排行,97,安川電機,65060,6900.0,-549.0,-7.37%,7398.0,6900.0,4994,344.6412
成交量排行,98,東海旅客鉄道,90220,3700.0,141.0,3.96%,3723.0,3543.0,4949,183.1463
成交量排行,99,リクルートホールディングス,60980,12300.0,405.0,3.40%,12395.0,11975.0,4937,607.251
成交量排行,100,横浜フィナンシャルグループ,71860,1905.0,29.0,1.55%,1947.0,1903.0,4827,91.9563
漲幅排行,1,ソフトテックス,550A0,2638.0,500.0,23.39%,2638.0,2131.0,79,2.1025
漲幅排行,2,ギークリー,505A0,1280.0,128.0,11.11%,1288.0,1156.0,131,1.6845
漲幅排行,3,ムラキ,74770,1995.0,165.0,9.02%,2079.0,1830.0,3,0.0658
漲幅排行,4,東京機械製作所,63350,699.0,56.0,8.71%,720.0,653.0,162,1.138
漲幅排行,5,サッポロホールディングス,25010,2045.5,150.0,7.91%,2057.0,1870.5,2757,56.4088
漲幅排行,6,太洋物産,99410,1508.0,109.0,7.79%,1634.0,1370.0,688,10.3796
漲幅排行,7,ジャパンマテリアル,60550,2640.0,189.0,7.71%,2739.0,2482.0,2493,65.8284
漲幅排行,8,ブックオフグループホールディングス,92780,2166.0,149.0,7.39%,2190.0,2037.0,305,6.6085
漲幅排行,9,オルトプラス,36720,30.0,2.0,7.14%,30.0,29.0,312,0.0937
漲幅排行,10,ＣＡＰＩＴＡ,74620,342.0,22.0,6.88%,358.0,331.0,70,0.2415
漲幅排行,11,テラスカイ,39150,2479.0,154.0,6.62%,2479.0,2300.0,372,9.2293
漲幅排行,12,前澤化成工業,79250,1926.0,111.0,6.12%,1951.0,1782.0,91,1.7623
漲幅排行,13,アゴーラ　ホスピタリティー　グループ,97040,35.0,2.0,6.06%,35.0,33.0,1470,0.5146
漲幅排行,14,ダイニチ工業,59510,1183.0,67.0,6.00%,1184.0,1110.0,36,0.4365
漲幅排行,15,アルテック,99720,290.0,16.0,5.84%,300.0,281.0,636,1.845
漲幅排行,16,ジンズホールディングス,30460,8410.0,460.0,5.79%,8460.0,8030.0,302,25.4234
漲幅排行,17,三和油化工業,41250,3490.0,190.0,5.76%,3495.0,3330.0,51,1.7974
漲幅排行,18,ケンコーマヨネーズ,29150,2083.0,111.0,5.63%,2091.0,1986.0,54,1.1248
漲幅排行,19,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,92670,3765.0,185.0,5.17%,3875.0,3620.0,190,7.1874
漲幅排行,20,Ｓｐｅｅｅ,44990,2305.0,111.0,5.06%,2464.0,2175.0,492,11.3406
漲幅排行,21,櫻護謨,51890,3545.0,170.0,5.04%,3545.0,3290.0,5,0.1808
漲幅排行,22,アイル,38540,2458.0,118.0,5.04%,2470.0,2339.0,165,4.0778
漲幅排行,23,東芝テック,65880,3050.0,144.0,4.96%,3150.0,2904.0,339,10.3486
漲幅排行,24,ロート製薬,45270,2525.5,119.0,4.94%,2560.0,2401.5,1748,44.1659
漲幅排行,25,サン電子,67360,11340.0,530.0,4.90%,12850.0,10950.0,126,14.3905
漲幅排行,26,日本金銭機械,64180,1077.0,50.0,4.87%,1079.0,1025.0,276,2.9758
漲幅排行,27,滋賀銀行,83660,2773.0,125.0,4.72%,2846.0,2764.0,1166,32.3443
漲幅排行,28,美津濃,80220,3540.0,155.0,4.58%,3650.0,3460.0,366,12.9635
漲幅排行,29,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,34450,8320.0,360.0,4.52%,8420.0,7750.0,554,46.1677
漲幅排行,30,シンプレクス・ホールディングス,43730,1066.0,46.0,4.51%,1080.0,1036.0,1742,18.5772
漲幅排行,31,ＡＲＣＨＩＯＮ,543A0,309.0,13.0,4.39%,309.0,292.0,4074,12.5914
漲幅排行,32,オープンドア,39260,357.0,15.0,4.39%,358.0,333.0,54,0.196
漲幅排行,33,大阪製鐵,54490,2510.0,105.0,4.37%,2510.0,2390.0,35,0.881
漲幅排行,34,エス・エム・エス,21750,2334.0,97.0,4.34%,2334.0,2229.0,423,9.8845
漲幅排行,35,サンエー,26590,3380.0,140.0,4.32%,3380.0,3195.0,333,11.2791
漲幅排行,36,鉄建建設,18150,4715.0,195.0,4.31%,4750.0,4580.0,96,4.5358
漲幅排行,37,ライフネット生命保険,71570,1774.0,73.0,4.29%,1776.0,1703.0,260,4.6142
漲幅排行,38,ＧａｍｅＷｉｔｈ,65520,195.0,8.0,4.28%,196.0,186.0,57,0.1111
