排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
漲幅排行,71,アオイ電子,68320,2537.0,87.0,3.55%,2539.0,2461.0,21,0.5378
漲幅排行,72,古野電気,68140,6410.0,220.0,3.55%,6630.0,6380.0,677,43.4213
漲幅排行,73,トーヨーアサノ,52710,2267.0,77.0,3.52%,2267.0,2219.0,3,0.0703
漲幅排行,74,白鳩,31920,355.0,12.0,3.50%,355.0,345.0,6,0.0224
漲幅排行,75,あじかん,29070,1629.0,55.0,3.49%,1631.0,1584.0,6,0.0994
漲幅排行,76,荒川化学工業,49680,2174.0,73.0,3.47%,2208.0,2050.0,376,8.1829
漲幅排行,77,堀場製作所,68560,26460.0,885.0,3.46%,26575.0,25960.0,177,47.0723
漲幅排行,78,乾汽船,93080,1600.0,52.0,3.36%,1612.0,1555.0,137,2.1936
漲幅排行,79,鳥取銀行,83830,1672.0,54.0,3.34%,1675.0,1602.0,46,0.7691
漲幅排行,80,ルネサスエレクトロニクス,67230,4817.0,155.0,3.32%,4979.0,4761.0,15820,762.0928
漲幅排行,81,ダイヘン,66220,15280.0,490.0,3.31%,15570.0,15130.0,217,33.234
漲幅排行,82,アールビバン,75230,1717.0,55.0,3.31%,1717.0,1660.0,0,0.0034
漲幅排行,83,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,98280,3285.0,105.0,3.30%,3285.0,3145.0,95,3.1339
漲幅排行,84,前澤工業,64890,1719.0,54.0,3.24%,1745.0,1648.0,87,1.4972
漲幅排行,85,ユアサ・フナショク,80060,1594.0,50.0,3.24%,1596.0,1551.0,4,0.0749
漲幅排行,86,ＫＧ情報,24080,875.0,27.0,3.18%,875.0,840.0,22,0.1951
漲幅排行,87,明海グループ,91150,845.0,26.0,3.17%,847.0,815.0,16,0.136
漲幅排行,88,パス,38400,65.0,2.0,3.17%,68.0,62.0,910,0.5915
漲幅排行,89,サン電子,67360,10850.0,330.0,3.14%,10940.0,10470.0,22,2.4521
漲幅排行,90,ＳＡＮＥＩ,62300,2284.0,69.0,3.12%,2285.0,2260.0,2,0.0457
漲幅排行,91,植木組,18670,2644.0,80.0,3.12%,2644.0,2573.0,4,0.1269
漲幅排行,92,阪神内燃機工業,60180,5990.0,180.0,3.10%,6000.0,5820.0,1,0.0839
漲幅排行,93,オークマ,61030,4815.0,145.0,3.10%,4855.0,4685.0,629,30.3297
漲幅排行,94,小野測器,68580,868.0,26.0,3.09%,869.0,840.0,24,0.2127
漲幅排行,95,東京応化工業,41860,10125.0,303.0,3.08%,10300.0,10025.0,735,74.4795
漲幅排行,96,タカノ,78850,1138.0,34.0,3.08%,1143.0,1113.0,19,0.2219
漲幅排行,97,Ｓｐｅｅｅ,44990,2221.0,66.0,3.06%,2291.0,2093.0,122,2.7141
漲幅排行,98,ジャパンマテリアル,60550,2549.0,75.0,3.03%,2621.0,2498.0,907,23.122
漲幅排行,99,アイエーグループ,75090,4810.0,140.0,3.00%,4810.0,4810.0,0,0.0144
漲幅排行,100,ヨンドシーホールディングス,80080,2060.0,60.0,3.00%,2063.0,2013.0,231,4.7751
成交金額排行,1,キオクシアホールディングス,285A0,77860.0,5990.0,8.33%,79950.0,75700.0,40044,31178.8813
成交金額排行,2,太陽誘電,69760,14680.0,-285.0,-1.90%,15770.0,14325.0,26672,3915.4936
成交金額排行,3,村田製作所,69810,9475.0,448.0,4.96%,9609.0,9265.0,29495,2794.6607
成交金額排行,4,東京エレクトロン,80350,71060.0,3710.0,5.51%,71540.0,69300.0,3695,2626.0934
成交金額排行,5,アドバンテスト,68570,29160.0,1615.0,5.86%,29820.0,28785.0,8863,2584.6258
成交金額排行,6,ソフトバンクグループ,99840,5757.0,-6.0,-0.10%,5958.0,5724.0,41571,2393.2713
成交金額排行,7,フジクラ,58030,4938.0,114.0,2.36%,5209.0,4904.0,45092,2226.6676
成交金額排行,8,イビデン,40620,19520.0,420.0,2.20%,20515.0,19180.0,7892,1540.655
成交金額排行,9,レーザーテック,69200,43020.0,1020.0,2.43%,43850.0,41810.0,2680,1153.2371
成交金額排行,10,ファーストリテイリング,99830,85170.0,-1930.0,-2.22%,87780.0,85120.0,1212,1032.9418
成交金額排行,11,ディスコ,61460,71510.0,3280.0,4.81%,72340.0,69230.0,1420,1015.5135
成交金額排行,12,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,10810.0,976.0,9.92%,10830.0,10290.0,8716,942.2645
成交金額排行,13,三菱ＵＦＪフィナンシャル・グループ,83060,3414.0,-19.0,-0.55%,3424.0,3381.0,26333,899.012
成交金額排行,14,ＪＸ金属,50160,3870.0,189.0,5.13%,3910.0,3787.0,22213,859.6625
成交金額排行,15,ルネサスエレクトロニクス,67230,4817.0,155.0,3.32%,4979.0,4761.0,15820,762.0928
成交金額排行,16,豊田自動織機,62010,20450.0,0.0,0.00%,20470.0,20440.0,3446,704.7888
成交金額排行,17,トヨタ自動車,72030,2824.0,-65.0,-2.25%,2865.0,2817.0,24949,704.5824
成交金額排行,18,ＳＵＭＣＯ,34360,4544.0,37.0,0.82%,4743.0,4468.0,14372,653.0773
成交金額排行,19,リクルートホールディングス,60980,12505.0,325.0,2.67%,12615.0,12150.0,5074,634.5912
成交金額排行,20,三菱重工業,70110,3805.0,-16.0,-0.42%,3867.0,3785.0,16150,614.5075
成交金額排行,21,三井住友フィナンシャルグループ,83160,6816.0,5.0,0.07%,6816.0,6702.0,8263,563.2402
成交金額排行,22,古河電気工業,58010,3543.0,2.0,0.06%,3687.0,3507.0,15748,557.9835
成交金額排行,23,ＳＣＲＥＥＮホールディングス,77350,17750.0,860.0,5.09%,18055.0,17315.0,3076,546.0965
成交金額排行,24,みずほフィナンシャルグループ,84110,8214.0,-36.0,-0.44%,8265.0,8108.0,6615,543.3725
成交金額排行,25,ソニーグループ,67580,3409.0,-59.0,-1.70%,3432.0,3385.0,15472,527.4712
成交金額排行,26,三井金属,57060,35090.0,1360.0,4.03%,36120.0,34280.0,1421,498.9447
成交金額排行,27,パナソニック　ホールディングス,67520,4455.0,122.0,2.82%,4587.0,4376.0,10477,466.7682
成交金額排行,28,ＨＯＹＡ,77410,24780.0,870.0,3.64%,24820.0,24230.0,1841,456.4228
成交金額排行,29,住友電気工業,58020,2401.0,39.5,1.67%,2487.0,2371.0,18696,448.891
成交金額排行,30,東京海上ホールディングス,87660,7870.0,170.0,2.21%,7870.0,7648.0,5696,448.3145
成交金額排行,31,信越化学工業,40630,7010.0,90.0,1.30%,7010.0,6890.0,6080,426.222
成交金額排行,32,任天堂,79740,7120.0,35.0,0.49%,7183.0,7000.0,5481,390.2757
成交金額排行,33,ローム,69630,5556.0,224.0,4.20%,5672.0,5367.0,6657,369.8629
成交金額排行,34,安川電機,65060,6816.0,180.0,2.71%,7044.0,6741.0,5393,367.5869
成交金額排行,35,ＴＤＫ,67620,3382.0,84.0,2.55%,3422.0,3328.0,10738,363.1727
成交金額排行,36,日立製作所,65010,4758.0,-20.0,-0.42%,4810.0,4703.0,7238,344.4126
成交金額排行,37,キーエンス,68610,75600.0,900.0,1.20%,76190.0,75000.0,450,340.578
成交金額排行,38,日本マイクロニクス,68710,16350.0,1390.0,9.29%,16770.0,15530.0,1988,325.038
成交金額排行,39,ダイキン工業,63670,25175.0,-285.0,-1.12%,25580.0,25020.0,1280,322.3911
成交金額排行,40,レゾナック・ホールディングス,40040,15750.0,420.0,2.74%,16160.0,15575.0,2001,315.2205
成交金額排行,41,三菱商事,80580,4411.0,-53.0,-1.19%,4459.0,4380.0,7110,313.6353
成交金額排行,42,ＩＨＩ,70130,2813.0,-79.0,-2.73%,2878.0,2803.0,11074,311.5201
成交金額排行,43,ファナック,69540,6851.0,151.0,2.25%,6919.0,6765.0,4478,306.8426
成交金額排行,44,川崎重工業,70120,2746.5,-80.0,-2.83%,2832.5,2735.5,10932,300.2694
成交金額排行,45,三井物産,80310,4614.0,-43.0,-0.92%,4638.0,4592.0,6191,285.685
成交金額排行,46,ＮＴＴ,94320,149.0,-0.5,-0.33%,150.1,148.6,178053,265.3003
成交金額排行,47,サンリオ,81360,1130.5,-47.0,-3.99%,1168.0,1113.0,23240,262.7305
成交金額排行,48,りそなホールディングス,83080,2364.5,6.5,0.28%,2372.5,2332.0,10020,236.9347
成交金額排行,49,住友金属鉱山,57130,7190.0,-115.0,-1.57%,7354.0,7103.0,3272,235.3071
成交金額排行,50,伊藤忠商事,80010,1891.5,13.5,0.72%,1899.0,1851.0,12090,228.6994
成交金額排行,51,小松製作所,63010,6395.0,-130.0,-1.99%,6497.0,6342.0,3332,213.0942
成交金額排行,52,ソシオネクスト,65260,2663.5,66.0,2.54%,2719.0,2630.0,7878,209.8385
成交金額排行,53,ＭＳ＆ＡＤインシュアランスグループホールディングス,87250,4505.0,-15.0,-0.33%,4505.0,4447.0,4504,202.9097
成交金額排行,54,味の素,28020,5721.0,19.0,0.33%,5905.0,5715.0,3484,199.3597
成交金額排行,55,セブン＆アイ・ホールディングス,33820,2029.0,-1.0,-0.05%,2042.0,1996.0,9651,195.8228
成交金額排行,56,三菱電機,65030,5783.0,84.0,1.47%,5826.0,5722.0,3365,194.6442
成交金額排行,57,京セラ,69710,3726.0,73.0,2.00%,3766.0,3694.0,5201,193.7967
成交金額排行,58,ＫＤＤＩ,94330,2805.0,-3.0,-0.11%,2835.5,2777.5,6851,192.1874
成交金額排行,59,日本電気,67010,4386.0,37.0,0.85%,4422.0,4260.0,4375,191.8875
成交金額排行,60,日本たばこ産業,29140,6186.0,-16.0,-0.26%,6222.0,6124.0,3066,189.6689
成交金額排行,61,本田技研工業,72670,1502.0,-23.0,-1.51%,1512.5,1492.5,12604,189.3151
成交金額排行,62,スズキ,72690,2027.5,-32.5,-1.58%,2037.5,1993.0,9253,187.6086
成交金額排行,63,荏原製作所,63610,5859.0,51.0,0.88%,5954.0,5804.0,3088,180.9435
成交金額排行,64,ＳＭＣ,62730,72020.0,1520.0,2.16%,72500.0,71010.0,241,173.8563
成交金額排行,65,ソフトバンク,94340,214.4,1.3,0.61%,216.8,211.5,80955,173.5679
成交金額排行,66,ＩＮＰＥＸ,16050,3427.0,39.0,1.15%,3470.0,3391.0,5051,173.1252
成交金額排行,67,ツルハホールディングス,33910,2360.5,66.0,2.88%,2408.5,2310.0,7254,171.2448
成交金額排行,68,オリックス,85910,6449.0,72.0,1.13%,6452.0,6311.0,2652,171.0855
成交金額排行,69,中外製薬,45190,7359.0,14.0,0.19%,7460.0,7313.0,2213,162.8694
成交金額排行,70,富士通,67020,3392.0,38.0,1.13%,3400.0,3290.0,4760,161.466
成交金額排行,71,良品計画,74530,3752.0,-60.0,-1.57%,3810.0,3720.0,4249,159.43
成交金額排行,72,東京電力ホールディングス,95010,479.1,-0.8,-0.17%,482.4,462.3,33095,158.5625
成交金額排行,73,日東紡績,31100,3480.0,-35.0,-1.00%,3725.0,3480.0,4549,158.3365
成交金額排行,74,ＳＯＭＰＯホールディングス,86300,6645.0,-69.0,-1.03%,6689.0,6544.0,2338,155.3933
成交金額排行,75,三井住友トラストグループ,83090,6577.0,-2.0,-0.03%,6606.0,6531.0,2339,153.8755
成交金額排行,76,三菱マテリアル,57110,3960.0,-294.0,-6.91%,4075.0,3927.0,3782,149.7751
成交金額排行,77,武田薬品工業,45020,5398.0,-53.0,-0.97%,5449.0,5367.0,2773,149.7297
成交金額排行,78,日本郵船,91010,5421.0,65.0,1.21%,5495.0,5362.0,2678,145.1961
成交金額排行,79,ゆうちょ銀行,71820,3289.0,-16.0,-0.48%,3317.0,3270.0,4393,144.4891
成交金額排行,80,野村ホールディングス,86040,1526.0,-17.0,-1.10%,1528.0,1500.5,9318,142.2064
成交金額排行,81,日本郵政,61780,2360.5,-9.5,-0.40%,2382.0,2338.5,5833,137.7068
成交金額排行,82,アサヒグループホールディングス,25020,1626.5,-34.0,-2.05%,1675.0,1626.0,8456,137.5499
成交金額排行,83,ローツェ,63230,4586.0,242.0,5.57%,4659.0,4471.0,2997,137.4699
成交金額排行,84,ミネベアミツミ,64790,4370.0,49.0,1.13%,4449.0,4307.0,3138,137.1481
成交金額排行,85,イオン,82670,1414.5,-40.5,-2.78%,1446.0,1405.0,9358,132.3746
成交金額排行,86,丸紅,80020,4924.0,-37.0,-0.75%,4935.0,4873.0,2676,131.781
成交金額排行,87,楽天グループ,47550,806.7,3.9,0.49%,815.8,785.0,15671,126.422
成交金額排行,88,メイコー,67870,25800.0,330.0,1.30%,26870.0,25300.0,487,125.6976
成交金額排行,89,第一ライフグループ,87500,1877.0,13.0,0.70%,1877.0,1838.0,6665,125.1058
成交金額排行,90,住友不動産,88300,3795.0,-53.0,-1.38%,3795.0,3715.0,3255,123.5538
成交金額排行,91,第一三共,45680,2733.0,16.0,0.59%,2743.0,2682.5,4418,120.7685
成交金額排行,92,ＮＧＫ,53330,7051.0,195.0,2.84%,7182.0,6966.0,1711,120.6779
成交金額排行,93,住友商事,80530,1565.5,1.0,0.06%,1572.0,1551.0,7670,120.077
成交金額排行,94,富士フイルムホールディングス,49010,3560.0,-14.0,-0.39%,3603.0,3539.0,3350,119.2671
成交金額排行,95,三井不動産,88010,1522.0,-22.5,-1.46%,1527.0,1504.5,7751,117.9809
成交金額排行,96,大成建設,18010,14050.0,0.0,0.00%,14050.0,13700.0,816,114.7745
成交金額排行,97,三菱地所,88020,4197.0,-70.0,-1.64%,4209.0,4143.0,2728,114.5277
成交金額排行,98,オリエンタルランド,46610,2603.0,1.0,0.04%,2626.5,2546.0,4386,114.1728
成交金額排行,99,商船三井,91040,5478.0,57.0,1.05%,5550.0,5425.0,2080,113.9807
成交金額排行,100,花王,44520,3280.0,-57.0,-1.71%,3311.0,3265.0,3455,113.3404
