排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,321010,32.1011
成交量排行,2,ＮＴＴ,94320,146.1,0.0,0.00%,148.4,146.1,269766,394.1286
成交量排行,3,ソフトバンク,94340,209.1,-1.0,-0.48%,212.5,209.1,74595,155.9784
成交量排行,4,キオクシアホールディングス,285A0,83300.0,7040.0,9.23%,84390.0,67190.0,56815,47327.3115
成交量排行,5,ソフトバンクグループ,99840,6169.0,-26.0,-0.42%,6169.0,5831.0,52377,3231.1803
成交量排行,6,ソニーフィナンシャルグループ,87290,146.8,0.5,0.34%,148.6,146.4,45031,66.1064
成交量排行,7,フジクラ,58030,5358.0,-10.0,-0.19%,5379.0,5006.0,42677,2286.6604
成交量排行,8,ジャパンディスプレイ,67400,53.0,1.0,1.92%,54.0,51.0,32992,17.486
成交量排行,9,東京電力ホールディングス,95010,465.0,7.6,1.66%,472.7,458.4,29269,136.1013
成交量排行,10,日産自動車,72010,313.1,1.1,0.35%,317.4,310.6,28248,88.4461
成交量排行,11,日本製鉄,54010,548.2,6.2,1.14%,553.6,546.9,25990,142.4794
成交量排行,12,住友電気工業,58020,2664.0,-24.5,-0.91%,2688.0,2509.0,25597,681.9067
成交量排行,13,太陽誘電,69760,20560.0,160.0,0.78%,21030.0,18010.0,25081,5156.777
成交量排行,14,三菱ＵＦＪフィナンシャル・グループ,83060,3326.0,20.0,0.60%,3337.0,3298.0,24679,820.8302
成交量排行,15,ＳＵＭＣＯ,34360,5094.0,517.0,11.30%,5100.0,4119.0,24518,1248.9622
成交量排行,16,村田製作所,69810,11080.0,205.0,1.89%,11080.0,9951.0,24232,2684.961
成交量排行,17,古河電気工業,58010,4000.0,24.0,0.60%,4015.0,3711.0,23593,943.72
成交量排行,18,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,19,トヨタ自動車,72030,2828.0,35.0,1.25%,2856.5,2813.0,23428,662.5636
成交量排行,20,ＪＸ金属,50160,4085.0,37.0,0.91%,4109.0,3886.0,22912,935.9715
成交量排行,21,メタプラネット,33500,214.0,7.0,3.38%,221.0,210.0,22876,48.9564
成交量排行,22,ソニーグループ,67580,3380.0,50.0,1.50%,3497.0,3364.0,22702,767.3479
成交量排行,23,サンリオ,81360,1087.5,-24.5,-2.20%,1103.0,1066.0,22529,245.004
成交量排行,24,住友化学,40050,554.0,32.2,6.17%,563.7,546.9,21962,121.6739
成交量排行,25,本田技研工業,72670,1550.0,23.0,1.51%,1562.0,1521.5,18232,282.5976
成交量排行,26,パナソニック　ホールディングス,67520,4522.0,-25.0,-0.55%,4544.0,4362.0,16061,726.3101
成交量排行,27,ＬＩＮＥヤフー,46890,438.2,2.2,0.50%,447.9,437.5,15362,67.3176
成交量排行,28,三菱重工業,70110,3792.0,4.0,0.11%,3899.0,3766.0,15350,582.0872
成交量排行,29,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,12000.0,1570.0,15.05%,12000.0,9706.0,14224,1706.964
成交量排行,30,第一三共,45680,2649.5,8.5,0.32%,2722.0,2638.5,13927,369.0144
成交量排行,31,ＩＨＩ,70130,2869.5,68.0,2.43%,2879.0,2741.0,13751,394.6022
成交量排行,32,川崎重工業,70120,2820.0,55.0,1.99%,2864.0,2756.0,13684,385.9001
成交量排行,33,楽天グループ,47550,764.0,21.8,2.94%,764.0,738.6,13668,104.4258
成交量排行,34,ルネサスエレクトロニクス,67230,4820.0,-22.0,-0.45%,4841.0,4457.0,12933,623.3802
成交量排行,35,ソシオネクスト,65260,2874.0,106.5,3.85%,2878.0,2588.5,12212,350.9901
成交量排行,36,ＴＤＫ,67620,3699.0,39.0,1.07%,3736.0,3514.0,11208,414.6098
成交量排行,37,イオン,82670,1407.5,53.5,3.95%,1437.0,1401.5,10720,150.8967
成交量排行,38,ローム,69630,5950.0,739.0,14.18%,5950.0,5206.0,10113,601.7414
成交量排行,39,任天堂,79740,7132.0,-5.0,-0.07%,7477.0,7132.0,10058,717.3366
成交量排行,40,スズキ,72690,2110.0,47.5,2.30%,2138.0,2082.5,9983,210.6497
成交量排行,41,日立製作所,65010,4615.0,-54.0,-1.16%,4713.0,4571.0,9892,456.5296
