排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,9.0,368614,36.8614
成交量排行,2,ＮＴＴ,94320,152.0,0.3,0.20%,152.1,149.7,236368,359.2801
成交量排行,3,ソフトバンク,94340,221.4,-0.7,-0.32%,222.4,219.3,66962,148.2539
成交量排行,4,ソニーフィナンシャルグループ,87290,159.8,0.4,0.25%,160.3,156.7,62300,99.5559
成交量排行,5,キオクシアホールディングス,285A0,64270.0,3210.0,5.26%,68700.0,62750.0,50463,32433.0843
成交量排行,6,ソフトバンクグループ,99840,5703.0,-48.0,-0.83%,6032.0,5690.0,41519,2367.8286
成交量排行,7,三菱ＵＦＪフィナンシャル・グループ,83060,3668.0,88.0,2.46%,3685.0,3573.0,40200,1474.569
成交量排行,8,日本製鉄,54010,599.0,0.4,0.07%,603.4,590.9,38651,231.5201
成交量排行,9,フジクラ,58030,4751.0,79.0,1.69%,5026.0,4741.0,38205,1815.1338
成交量排行,10,村田製作所,69810,8317.0,316.0,3.95%,8720.0,8225.0,31932,2655.8094
成交量排行,11,太陽誘電,69760,12535.0,790.0,6.73%,14150.0,12245.0,30557,3830.3701
成交量排行,12,東京電力ホールディングス,95010,505.3,1.9,0.38%,509.9,492.6,29743,150.2929
成交量排行,13,日産自動車,72010,334.3,2.0,0.60%,340.9,328.5,29593,98.9314
成交量排行,14,メタプラネット,33500,253.0,10.0,4.12%,265.0,244.0,25389,64.2344
成交量排行,15,トヨタ自動車,72030,2939.0,-5.5,-0.19%,2951.0,2897.5,24733,726.9176
成交量排行,16,住友電気工業,58020,2451.0,114.5,4.90%,2564.0,2442.0,24433,598.8675
成交量排行,17,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,18,サンリオ,81360,1131.5,-48.5,-4.11%,1151.0,1116.0,23377,264.5153
成交量排行,19,ＪＸ金属,50160,3771.0,106.0,2.89%,3940.0,3740.0,22645,853.9731
成交量排行,20,ＳＵＭＣＯ,34360,3785.0,-115.0,-2.95%,4196.0,3752.0,20359,770.6071
成交量排行,21,ジャパンディスプレイ,67400,47.0,-1.0,-2.08%,50.0,46.0,17878,8.4027
成交量排行,22,古河電気工業,58010,3525.0,106.0,3.10%,3725.0,3518.0,17372,612.3806
成交量排行,23,大黒屋ホールディングス,69930,75.0,-1.0,-1.32%,79.0,75.0,16876,12.6571
成交量排行,24,住友化学,40050,548.0,11.6,2.16%,556.5,539.0,16675,91.3801
成交量排行,25,川崎重工業,70120,2736.5,60.5,2.26%,2779.5,2675.5,15815,432.7802
成交量排行,26,ソニーグループ,67580,3444.0,-14.0,-0.40%,3467.0,3400.0,14994,516.3968
成交量排行,27,ルネサスエレクトロニクス,67230,4175.0,140.0,3.47%,4460.0,4175.0,14565,608.1055
成交量排行,28,三菱重工業,70110,3892.0,40.0,1.04%,3916.0,3804.0,13718,533.9085
成交量排行,29,ＬＩＮＥヤフー,46890,442.6,-6.6,-1.47%,445.2,436.5,13330,59.0012
成交量排行,30,三井住友フィナンシャルグループ,83160,7072.0,121.0,1.74%,7147.0,6972.0,13171,931.4956
成交量排行,31,伊藤忠商事,80010,1964.0,17.5,0.90%,1972.5,1936.5,12405,243.6401
成交量排行,32,三菱商事,80580,4888.0,224.0,4.80%,4947.0,4772.0,12371,604.6994
成交量排行,33,みずほフィナンシャルグループ,84110,8529.0,227.0,2.73%,8648.0,8341.0,11822,1008.3496
成交量排行,34,本田技研工業,72670,1559.0,2.0,0.13%,1566.5,1539.0,11814,184.1818
成交量排行,35,イオン,82670,1357.5,-9.0,-0.66%,1362.5,1327.0,11759,159.6311
成交量排行,36,パナソニック　ホールディングス,67520,4095.0,22.0,0.54%,4257.0,4075.0,11203,458.7751
成交量排行,37,ＳＨＩＦＴ,36970,766.5,0.7,0.09%,814.1,750.9,11188,85.7622
成交量排行,38,第一ライフグループ,87500,1897.0,19.5,1.04%,1900.0,1860.0,10968,208.0649
成交量排行,39,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,8741.0,-259.0,-2.88%,9534.0,8617.0,10453,913.723
成交量排行,40,住友商事,80530,1604.0,30.5,1.94%,1623.0,1580.5,10381,166.5161
成交量排行,41,イビデン,40620,18250.0,835.0,4.79%,19820.0,17965.0,10290,1878.0345
成交量排行,42,ソシオネクスト,65260,2486.5,14.0,0.57%,2582.5,2435.5,10243,254.7121
成交量排行,43,楽天グループ,47550,790.3,-11.7,-1.46%,796.6,780.4,10134,80.0953
成交量排行,44,ＴＤＫ,67620,3107.0,34.0,1.11%,3195.0,3095.0,9808,304.7563
成交量排行,45,メディアリンクス,66590,50.0,-4.0,-7.41%,59.0,49.0,9625,4.8129
成交量排行,46,安川電機,65060,5213.0,94.0,1.84%,5375.0,5152.0,9465,493.4469
成交量排行,47,野村ホールディングス,86040,1603.0,16.5,1.04%,1624.5,1579.5,9271,148.6141
成交量排行,48,アドバンテスト,68570,29585.0,-45.0,-0.15%,31580.0,29535.0,9245,2735.1924
成交量排行,49,日立製作所,65010,4807.0,15.0,0.31%,4872.0,4762.0,9137,439.2492
成交量排行,50,ＩＨＩ,70130,2779.0,-1.0,-0.04%,2831.0,2747.0,9040,251.2299
成交量排行,51,アサヒグループホールディングス,25020,1629.5,1.0,0.06%,1635.5,1598.0,9022,147.02
成交量排行,52,ＫＤＤＩ,94330,2875.5,-6.0,-0.21%,2880.0,2820.0,8958,257.593
成交量排行,53,任天堂,79740,7003.0,10.0,0.14%,7055.0,6905.0,8495,594.9609
成交量排行,54,オリエンタルランド,46610,2673.5,-61.5,-2.25%,2685.0,2582.0,8433,225.4803
成交量排行,55,パーソルホールディングス,21810,259.5,-7.7,-2.88%,262.9,258.7,8414,21.8343
成交量排行,56,ＹＥ　ＤＩＧＩＴＡＬ,23540,1220.0,-139.0,-10.23%,1496.0,1214.0,8300,101.26
成交量排行,57,セブン＆アイ・ホールディングス,33820,2092.0,18.0,0.87%,2092.0,2032.0,8270,173.0189
成交量排行,58,三菱自動車工業,72110,383.7,-5.8,-1.49%,396.9,383.5,8200,31.4661
成交量排行,59,京セラ,69710,3780.0,114.0,3.11%,3817.0,3721.0,8060,304.6831
成交量排行,60,アステラス製薬,45030,2175.5,-21.0,-0.96%,2218.0,2162.0,7982,173.6484
成交量排行,61,富士通,67020,3311.0,2.0,0.06%,3318.0,3181.0,7980,264.2211
成交量排行,62,りそなホールディングス,83080,2322.0,36.0,1.57%,2354.5,2287.5,7836,181.9566
成交量排行,63,ゆうちょ銀行,71820,3411.0,63.0,1.88%,3460.0,3364.0,7786,265.6043
成交量排行,64,スズキ,72690,2056.0,5.0,0.24%,2081.0,2033.0,7562,155.4871
成交量排行,65,ファナック,69540,6873.0,97.0,1.43%,7057.0,6856.0,7494,515.1176
成交量排行,66,ＥＮＥＯＳホールディングス,50200,1320.0,19.5,1.50%,1326.0,1286.5,7386,97.5018
成交量排行,67,三井物産,80310,4911.0,87.0,1.80%,4972.0,4820.0,7380,362.4564
成交量排行,68,三菱ケミカルグループ,41880,1195.5,2.5,0.21%,1220.0,1191.5,7349,87.8585
成交量排行,69,パン・パシフィック・インターナショナルホールディングス,75320,866.3,-14.6,-1.66%,869.4,853.5,7010,60.7346
成交量排行,70,リコー,77520,1551.5,22.0,1.44%,1579.0,1524.0,6867,106.5539
成交量排行,71,ＪＦＥホールディングス,54110,1714.5,-24.5,-1.41%,1747.5,1709.5,6336,108.6324
成交量排行,72,セブン銀行,84100,314.7,3.4,1.09%,314.8,308.6,6326,19.9098
成交量排行,73,資生堂,49110,3040.0,-173.0,-5.38%,3239.0,3031.0,6320,192.128
成交量排行,74,信越化学工業,40630,7075.0,-130.0,-1.80%,7367.0,7072.0,6291,445.1449
成交量排行,75,ＵＴグループ,21460,179.0,-3.0,-1.65%,181.0,178.0,6257,11.2016
成交量排行,76,三井不動産,88010,1557.0,-17.5,-1.11%,1565.0,1540.0,6251,97.3296
成交量排行,77,ヤマダホールディングス,98310,706.5,-21.6,-2.97%,726.0,698.5,5808,41.0392
成交量排行,78,デンソー,69020,1989.5,-3.0,-0.15%,2002.5,1980.0,5778,114.9553
成交量排行,79,ＺＯＺＯ,30920,1135.0,-32.5,-2.78%,1158.0,1117.5,5773,65.527
成交量排行,80,日本コークス工業,33150,98.0,2.0,2.08%,100.0,96.0,5654,5.5412
成交量排行,81,ＡＲＣＨＩＯＮ,543A0,304.0,3.0,1.00%,306.0,297.0,5578,16.9577
成交量排行,82,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,81050,101.0,-3.0,-2.88%,119.0,100.0,5481,5.5361
成交量排行,83,ユニ・チャーム,81130,960.6,-5.4,-0.56%,963.3,949.2,5414,52.0107
成交量排行,84,ヤマハ発動機,72720,1309.5,16.0,1.24%,1309.5,1279.0,5397,70.6803
成交量排行,85,ＴＯＷＡ,63150,2860.0,12.0,0.42%,3035.0,2860.0,5390,154.1569
成交量排行,86,ＭＳ＆ＡＤインシュアランスグループホールディングス,87250,4801.0,61.0,1.29%,4839.0,4715.0,5351,256.9399
成交量排行,87,第一三共,45680,2761.5,-53.5,-1.90%,2810.0,2751.0,5301,146.3926
成交量排行,88,ローム,69630,4785.0,51.0,1.08%,5018.0,4785.0,5297,253.4997
成交量排行,89,三菱電機,65030,5629.0,38.0,0.68%,5795.0,5629.0,5262,296.2374
成交量排行,90,マツダ,72610,1160.5,-5.0,-0.43%,1178.5,1152.5,5112,59.334
成交量排行,91,東京海上ホールディングス,87660,7971.0,97.0,1.23%,7971.0,7847.0,5007,399.108
成交量排行,92,日本郵政,61780,2453.5,35.0,1.45%,2460.0,2400.5,4927,120.8938
成交量排行,93,リクルートホールディングス,60980,12305.0,-615.0,-4.76%,12575.0,12250.0,4886,601.2346
成交量排行,94,日東紡績,31100,3180.0,70.0,2.25%,3360.0,3180.0,4817,153.206
成交量排行,95,東宝,96020,1375.5,-59.5,-4.15%,1403.0,1359.5,4653,64.013
成交量排行,96,インフォマート,24920,525.0,-6.0,-1.13%,533.0,511.0,4639,24.3584
成交量排行,97,オリンパス,77330,1726.0,-29.0,-1.65%,1740.0,1703.0,4597,79.3459
成交量排行,98,大和証券グループ本社,86010,1852.5,5.5,0.30%,1866.5,1834.0,4567,84.6129
成交量排行,99,ビート・ホールディングス・リミテッド（貝徳控股有限公司）,93990,14.0,1.0,7.69%,16.0,13.0,4488,0.6284
成交量排行,100,キッコーマン,28010,1619.5,-6.0,-0.37%,1642.0,1602.0,4404,71.3244
漲幅排行,1,シリコンスタジオ,39070,904.0,150.0,19.89%,904.0,904.0,10,0.094
漲幅排行,2,ザインエレクトロニクス,67690,1072.0,113.0,11.78%,1109.0,1061.0,589,6.3205
漲幅排行,3,藤田エンジニアリング,17700,2278.0,220.0,10.69%,2304.0,2062.0,4,0.0911
漲幅排行,4,内海造船,70180,10910.0,980.0,9.87%,11110.0,10520.0,31,3.4367
漲幅排行,5,多木化学,40250,5380.0,465.0,9.46%,5530.0,5300.0,83,4.5084
漲幅排行,6,インソース,62000,690.0,59.0,9.35%,721.0,685.0,3392,23.4103
漲幅排行,7,富士紡ホールディングス,31040,4085.0,345.0,9.22%,4215.0,3880.0,294,12.0426
漲幅排行,8,日本ケミコン,69970,3345.0,245.0,7.90%,3510.0,3285.0,1045,34.9619
漲幅排行,9,明海グループ,91150,894.0,65.0,7.84%,894.0,830.0,37,0.3344
漲幅排行,10,ビート・ホールディングス・リミテッド（貝徳控股有限公司）,93990,14.0,1.0,7.69%,16.0,13.0,4488,0.6284
漲幅排行,11,三井金属,57060,33600.0,2310.0,7.38%,35290.0,33390.0,1665,559.6416
漲幅排行,12,ユニバンス,72540,810.0,54.0,7.14%,810.0,751.0,19,0.158
漲幅排行,13,協和コンサルタンツ,96470,6730.0,430.0,6.83%,6730.0,6340.0,1,0.0875
漲幅排行,14,名村造船所,70140,4160.0,265.0,6.80%,4270.0,3930.0,1664,69.2515
漲幅排行,15,白鳩,31920,301.0,19.0,6.74%,302.0,290.0,9,0.028
漲幅排行,16,太陽誘電,69760,12535.0,790.0,6.73%,14150.0,12245.0,30557,3830.3701
漲幅排行,17,ニッカトー,53670,1232.0,77.0,6.67%,1334.0,1211.0,1298,15.9914
漲幅排行,18,精工技研,68340,21250.0,1260.0,6.30%,22270.0,20920.0,232,49.3
漲幅排行,19,旭コンクリート工業,52680,833.0,49.0,6.25%,833.0,787.0,9,0.0808
漲幅排行,20,ＫＯＡ,69990,2525.0,147.0,6.18%,2615.0,2485.0,917,23.1593
漲幅排行,21,日本化学工業,40920,5510.0,320.0,6.17%,5820.0,5230.0,517,28.5143
