排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,334881,33.4882
成交量排行,2,ＮＴＴ,94320,149.1,1.5,1.02%,149.3,147.8,164233,244.8726
成交量排行,3,ソフトバンク,94340,214.6,3.2,1.51%,214.9,211.9,58455,125.4444
成交量排行,4,ソニーフィナンシャルグループ,87290,150.9,1.6,1.07%,151.2,148.9,55019,83.0246
成交量排行,5,キオクシアホールディングス,285A0,67100.0,-9900.0,-12.86%,77160.0,66100.0,48704,32680.9208
成交量排行,6,ソフトバンクグループ,99840,6364.0,-6.0,-0.09%,6542.0,6231.0,47113,2998.3031
成交量排行,7,三菱ＵＦＪフィナンシャル・グループ,83060,3541.0,80.0,2.31%,3564.0,3486.0,43079,1525.4486
成交量排行,8,フジクラ,58030,5007.0,-143.0,-2.78%,5380.0,4915.0,40749,2040.3124
成交量排行,9,ＳＵＭＣＯ,34360,5133.0,-111.0,-2.12%,5939.0,5133.0,40452,2076.4166
成交量排行,10,村田製作所,69810,9066.0,-794.0,-8.05%,10060.0,8795.0,36642,3322.0453
成交量排行,11,三菱自動車工業,72110,368.8,7.0,1.93%,389.8,360.0,30440,112.2642
成交量排行,12,日産自動車,72010,305.1,-5.4,-1.74%,312.1,304.9,28826,87.9487
成交量排行,13,太陽誘電,69760,11900.0,-2830.0,-19.21%,14750.0,11740.0,27172,3233.468
成交量排行,14,東京電力ホールディングス,95010,485.3,4.9,1.02%,494.8,477.5,26889,130.4933
成交量排行,15,日本製鉄,54010,560.0,9.8,1.78%,561.0,553.1,26236,146.9238
成交量排行,16,サンリオ,81360,1161.0,18.5,1.62%,1196.0,1146.5,25096,291.3738
成交量排行,17,メタプラネット,33500,234.0,-14.0,-5.65%,249.0,230.0,23905,55.9398
成交量排行,18,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,19,ＪＸ金属,50160,3836.0,-126.0,-3.18%,4000.0,3751.0,22211,852.037
成交量排行,20,ジャパンディスプレイ,67400,52.0,0.0,0.00%,54.0,51.0,20807,10.8197
成交量排行,21,トヨタ自動車,72030,2806.0,-17.0,-0.60%,2847.0,2794.0,19932,559.3088
成交量排行,22,良品計画,74530,4233.0,610.0,16.84%,4311.0,4026.0,16883,714.687
成交量排行,23,住友電気工業,58020,2486.0,-96.0,-3.72%,2620.5,2446.5,16839,418.6325
成交量排行,24,古河電気工業,58010,3589.0,-136.0,-3.65%,3933.0,3566.0,16349,586.7871
