排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,334231,33.4231
成交量排行,2,ＮＴＴ,94320,150.2,1.1,0.74%,152.2,149.7,274044,411.6153
成交量排行,3,ソニーフィナンシャルグループ,87290,155.0,4.1,2.72%,155.0,151.6,121727,188.6773
成交量排行,4,ソフトバンク,94340,218.8,4.2,1.96%,221.9,215.6,120033,262.6342
成交量排行,5,ソフトバンクグループ,99840,6574.0,210.0,3.30%,6574.0,6018.0,62130,4084.4393
成交量排行,6,キオクシアホールディングス,285A0,69100.0,2000.0,2.98%,70920.0,63060.0,53216,36772.8779
成交量排行,7,三菱ＵＦＪフィナンシャル・グループ,83060,3600.0,59.0,1.67%,3600.0,3501.0,53200,1915.2216
成交量排行,8,フジクラ,58030,4800.0,-207.0,-4.13%,4820.0,4564.0,44664,2143.8864
成交量排行,9,東京電力ホールディングス,95010,503.1,17.8,3.67%,509.7,484.0,41878,210.6912
成交量排行,10,サンリオ,81360,1200.0,39.0,3.36%,1226.5,1167.0,38155,457.86
成交量排行,11,村田製作所,69810,9100.0,34.0,0.38%,9136.0,8469.0,37725,3432.9841
成交量排行,12,ＳＵＭＣＯ,34360,5307.0,174.0,3.39%,5536.0,4822.0,34000,1804.4118
成交量排行,13,日本製鉄,54010,567.6,7.6,1.36%,569.0,559.3,33837,192.0634
成交量排行,14,太陽誘電,69760,11855.0,-45.0,-0.38%,12065.0,10920.0,30014,3558.2071
成交量排行,15,メタプラネット,33500,245.0,11.0,4.70%,248.0,229.0,25731,63.0412
成交量排行,16,安川電機,65060,5436.0,-536.0,-8.98%,5860.0,5205.0,25491,1385.7397
成交量排行,17,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,18,ＪＸ金属,50160,3897.0,61.0,1.59%,3897.0,3698.0,20924,815.4434
成交量排行,19,ジャパンディスプレイ,67400,51.0,-1.0,-1.92%,53.0,51.0,20550,10.481
成交量排行,20,トヨタ自動車,72030,2839.0,33.0,1.18%,2853.0,2815.5,20459,580.8395
成交量排行,21,日産自動車,72010,305.1,0.0,0.00%,308.8,304.0,20395,62.2251
成交量排行,22,古河電気工業,58010,3520.0,-69.0,-1.92%,3568.0,3357.0,20118,708.1536
成交量排行,23,本田技研工業,72670,1513.5,18.5,1.24%,1547.0,1511.0,19873,300.7854
成交量排行,24,住友電気工業,58020,2458.5,-27.5,-1.11%,2469.5,2388.0,18618,457.7407
成交量排行,25,三菱自動車工業,72110,357.9,-10.9,-2.96%,372.9,356.1,16239,58.1215
成交量排行,26,楽天グループ,47550,803.7,5.6,0.70%,812.8,775.0,15567,125.1184
成交量排行,27,住友化学,40050,535.6,16.6,3.20%,541.0,518.0,15157,81.1846
成交量排行,28,川崎重工業,70120,2690.0,-26.5,-0.98%,2731.0,2648.0,14924,401.4583
成交量排行,29,ソニーグループ,67580,3383.0,42.0,1.26%,3424.0,3361.0,13640,461.4649
成交量排行,30,パナソニック　ホールディングス,67520,4173.0,-246.0,-5.57%,4305.0,4093.0,13282,554.2579
成交量排行,31,伊藤忠商事,80010,1904.0,26.5,1.41%,1908.5,1876.0,13250,252.2819
成交量排行,32,ＴＤＫ,67620,3234.0,31.0,0.97%,3265.0,3130.0,12888,416.8238
成交量排行,33,ルネサスエレクトロニクス,67230,4381.0,-88.0,-1.97%,4468.0,4273.0,12785,560.1328
成交量排行,34,三菱重工業,70110,3746.0,-12.0,-0.32%,3816.0,3718.0,12709,476.0979
