排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,11.0,1.0,10.00%,11.0,10.0,299468,32.9415
成交量排行,2,ＮＴＴ,94320,145.0,-1.0,-0.68%,146.7,145.0,192279,278.8054
成交量排行,3,ソフトバンク,94340,208.1,0.3,0.14%,208.7,205.7,99272,206.5869
成交量排行,4,ジャパンディスプレイ,67400,56.0,-4.0,-6.67%,61.0,54.0,72380,40.5329
成交量排行,5,ソフトバンクグループ,99840,5963.0,69.0,1.17%,6047.0,5711.0,59812,3566.6432
成交量排行,6,ソニーフィナンシャルグループ,87290,142.9,1.4,0.99%,142.9,140.2,50111,71.6096
成交量排行,7,フジクラ,58030,6238.0,353.0,6.00%,6320.0,6039.0,46151,2878.8994
成交量排行,8,日本製鉄,54010,536.1,-10.0,-1.83%,545.7,536.1,38459,206.1787
成交量排行,9,キオクシアホールディングス,285A0,89680.0,1230.0,1.39%,94880.0,85300.0,36393,32637.7805
成交量排行,10,楽天グループ,47550,753.4,38.9,5.44%,770.8,737.0,35920,270.625
成交量排行,11,トヨタ自動車,72030,2725.0,-47.0,-1.70%,2782.5,2708.0,32958,898.1137
成交量排行,12,サンリオ,81360,1100.0,-26.5,-2.35%,1139.5,1095.0,31953,351.4863
成交量排行,13,日産自動車,72010,300.0,-1.9,-0.63%,305.6,296.1,28854,86.5635
成交量排行,14,三菱ＵＦＪフィナンシャル・グループ,83060,3207.0,-4.0,-0.12%,3257.0,3207.0,28320,908.2224
成交量排行,15,東京電力ホールディングス,95010,461.3,-0.7,-0.15%,469.4,458.3,26801,123.6335
成交量排行,16,ＪＸ金属,50160,4398.0,-72.0,-1.61%,4525.0,4345.0,24485,1076.8679
成交量排行,17,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,18,太陽誘電,69760,20150.0,1540.0,8.28%,20730.0,18445.0,22570,4547.9155
成交量排行,19,村田製作所,69810,11395.0,655.0,6.10%,11640.0,10450.0,22104,2518.8534
成交量排行,20,ＬＩＮＥヤフー,46890,433.8,10.3,2.43%,437.3,427.3,21731,94.2725
成交量排行,21,住友電気工業,58020,2927.0,32.5,1.12%,3019.0,2882.0,20322,594.8366
成交量排行,22,古河電気工業,58010,4730.0,311.0,7.04%,4829.0,4589.0,20063,949.0225
成交量排行,23,本田技研工業,72670,1480.0,4.0,0.27%,1492.0,1467.5,20049,296.7311
成交量排行,24,ソニーグループ,67580,3280.0,-19.0,-0.58%,3319.0,3261.0,19350,634.7095
成交量排行,25,三菱重工業,70110,3666.0,15.0,0.41%,3717.0,3606.0,19004,696.6976
成交量排行,26,伊藤忠商事,80010,1854.0,4.5,0.24%,1860.0,1837.5,16704,309.7088
成交量排行,27,ＴＤＫ,67620,3570.0,-23.0,-0.64%,3665.0,3510.0,14854,530.2878
成交量排行,28,ルネサスエレクトロニクス,67230,4807.0,-3.0,-0.06%,4952.0,4736.0,14499,696.9669
成交量排行,29,メタプラネット,33500,200.0,-2.0,-0.99%,204.0,196.0,13616,27.2326
成交量排行,30,住友商事,80530,1549.0,16.5,1.08%,1578.0,1540.5,13056,202.2452
成交量排行,31,第一ライフグループ,87500,1778.5,39.5,2.27%,1792.5,1743.0,12767,227.0664
成交量排行,32,パナソニック　ホールディングス,67520,4502.0,109.0,2.48%,4630.0,4366.0,12658,569.8992
成交量排行,33,三井不動産,88010,1499.0,-21.5,-1.41%,1528.5,1499.0,12517,187.6343
成交量排行,34,日立製作所,65010,4471.0,-15.0,-0.33%,4499.0,4422.0,12297,549.7989
成交量排行,35,パン・パシフィック・インターナショナルホールディングス,75320,823.0,-3.4,-0.41%,854.0,821.0,12157,100.0538
成交量排行,36,ＳＵＭＣＯ,34360,4029.0,190.0,4.95%,4070.0,3756.0,11790,475.0513
成交量排行,37,三菱自動車工業,72110,312.1,-2.5,-0.79%,317.8,308.5,11378,35.5117
成交量排行,38,ＩＨＩ,70130,2711.5,36.5,1.36%,2731.5,2641.5,11127,301.714
成交量排行,39,住友化学,40050,513.5,-2.2,-0.43%,519.4,504.0,10671,54.8002
成交量排行,40,アステラス製薬,45030,2175.0,4.0,0.18%,2184.5,2152.0,9968,216.8236
成交量排行,41,ＫＤＤＩ,94330,2745.0,28.0,1.03%,2757.0,2701.5,9860,270.6625
成交量排行,42,三井住友フィナンシャルグループ,83160,6346.0,2.0,0.03%,6436.0,6329.0,9707,616.0126
成交量排行,43,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,10855.0,878.0,8.80%,11090.0,9923.0,9679,1050.7423
成交量排行,44,野村ホールディングス,86040,1413.5,-1.5,-0.11%,1428.5,1402.0,9562,135.1645
成交量排行,45,デンソー,69020,1876.0,-12.0,-0.64%,1897.0,1867.5,9201,172.6126
成交量排行,46,大黒屋ホールディングス,69930,91.0,2.0,2.25%,92.0,88.0,9195,8.3679
成交量排行,47,任天堂,79740,6815.0,-120.0,-1.73%,6962.0,6792.0,8965,611.0261
成交量排行,48,川崎重工業,70120,2922.5,14.0,0.48%,2974.0,2862.5,8926,260.8887
成交量排行,49,三菱商事,80580,4347.0,-67.0,-1.52%,4427.0,4338.0,8781,381.7188
成交量排行,50,ＥＮＥＯＳホールディングス,50200,1197.0,-3.0,-0.25%,1208.0,1179.5,8630,103.3059
成交量排行,51,イオン,82670,1341.0,-31.0,-2.26%,1385.0,1338.5,8196,109.9164
成交量排行,52,三菱ケミカルグループ,41880,1128.5,-1.5,-0.13%,1144.0,1102.5,8022,90.535
成交量排行,53,みずほフィナンシャルグループ,84110,7743.0,91.0,1.19%,7783.0,7662.0,7867,609.1418
成交量排行,54,アドバンテスト,68570,32340.0,390.0,1.22%,33010.0,31510.0,7822,2529.6995
成交量排行,55,スズキ,72690,1955.5,-16.0,-0.81%,1988.0,1936.0,7768,151.9208
成交量排行,56,日東紡績,31100,4315.0,-265.0,-5.79%,4460.0,4060.0,7743,334.1148
成交量排行,57,ソシオネクスト,65260,2551.5,34.0,1.35%,2579.0,2419.0,7723,197.0651
成交量排行,58,イビデン,40620,23815.0,115.0,0.49%,24555.0,23315.0,7492,1784.2436
成交量排行,59,シャープ,67530,651.3,18.1,2.86%,663.5,632.5,7375,48.0379
成交量排行,60,メディアリンクス,66590,65.0,1.0,1.56%,69.0,61.0,7174,4.6635
成交量排行,61,パーソルホールディングス,21810,247.4,-0.3,-0.12%,248.8,246.2,7120,17.6164
成交量排行,62,セブン＆アイ・ホールディングス,33820,1957.0,3.5,0.18%,1976.0,1933.5,7083,138.6182
成交量排行,63,ＳＨＩＦＴ,36970,674.0,1.1,0.16%,680.0,651.2,6929,46.7035
成交量排行,64,マツダ,72610,1088.5,-1.0,-0.09%,1100.5,1072.5,6926,75.3928
