排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,10.0,9.0,331936,33.1936
成交量排行,2,ＮＴＴ,94320,151.7,0.6,0.40%,154.2,151.5,249237,378.0933
成交量排行,3,ソフトバンク,94340,222.1,1.6,0.73%,226.0,221.6,84837,188.4239
成交量排行,4,ソニーフィナンシャルグループ,87290,159.4,4.7,3.04%,160.0,155.0,59304,94.5314
成交量排行,5,ソフトバンクグループ,99840,5751.0,327.0,6.03%,5789.0,5364.0,51208,2945.0238
成交量排行,6,キオクシアホールディングス,285A0,61060.0,8950.0,17.18%,61920.0,51370.0,50881,31068.366
成交量排行,7,三菱ＵＦＪフィナンシャル・グループ,83060,3580.0,107.0,3.08%,3580.0,3473.0,48029,1719.4418
成交量排行,8,日本製鉄,54010,598.6,13.0,2.22%,598.6,586.3,43134,258.2007
成交量排行,9,村田製作所,69810,8001.0,369.0,4.83%,8046.0,7336.0,34312,2745.3511
成交量排行,10,東京電力ホールディングス,95010,503.4,-3.2,-0.63%,518.2,497.1,31471,158.4265
成交量排行,11,トヨタ自動車,72030,2944.5,45.0,1.55%,2972.0,2893.5,31065,914.7178
成交量排行,12,フジクラ,58030,4672.0,200.0,4.47%,4707.0,4472.0,29986,1400.974
成交量排行,13,ＳＵＭＣＯ,34360,3900.0,-14.0,-0.36%,3986.0,3621.0,26885,1048.5306
成交量排行,14,日産自動車,72010,332.3,3.0,0.91%,336.6,327.3,26456,87.9159
成交量排行,15,太陽誘電,69760,11745.0,710.0,6.43%,11845.0,10720.0,23646,2777.2227
成交量排行,16,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,17,三菱重工業,70110,3852.0,171.0,4.65%,3889.0,3717.0,21670,834.74
成交量排行,18,住友電気工業,58020,2336.5,87.5,3.89%,2340.0,2253.5,21389,499.754
成交量排行,19,ＪＸ金属,50160,3665.0,107.0,3.01%,3681.0,3470.0,20308,744.2992
成交量排行,20,メタプラネット,33500,243.0,22.0,9.95%,246.0,228.0,19884,48.3198
成交量排行,21,本田技研工業,72670,1557.0,21.5,1.40%,1561.0,1510.0,17780,276.8362
成交量排行,22,サンリオ,81360,1180.0,-24.5,-2.03%,1227.0,1177.5,17353,204.7689
成交量排行,23,ルネサスエレクトロニクス,67230,4035.0,213.0,5.57%,4080.0,3813.0,16862,680.4019
成交量排行,24,大黒屋ホールディングス,69930,76.0,0.0,0.00%,78.0,75.0,15645,11.8907
成交量排行,25,ソニーグループ,67580,3458.0,-12.0,-0.35%,3522.0,3442.0,15484,535.4402
成交量排行,26,古河電気工業,58010,3419.0,157.0,4.81%,3429.0,3208.0,15270,522.0813
成交量排行,27,ジャパンディスプレイ,67400,48.0,2.0,4.35%,49.0,46.0,14741,7.0759
成交量排行,28,伊藤忠商事,80010,1946.5,44.0,2.31%,1954.5,1915.0,14432,280.9325
成交量排行,29,任天堂,79740,6993.0,-301.0,-4.13%,7060.0,6916.0,13891,971.4466
成交量排行,30,三井住友フィナンシャルグループ,83160,6951.0,230.0,3.42%,6971.0,6734.0,13806,959.7176
成交量排行,31,川崎重工業,70120,2676.0,71.5,2.75%,2700.5,2591.0,13619,364.4551
成交量排行,32,ヤマダホールディングス,98310,728.1,29.5,4.22%,737.0,697.8,13562,98.7507
成交量排行,33,ＬＩＮＥヤフー,46890,449.2,1.8,0.40%,459.7,445.5,13239,59.4732
成交量排行,34,ＴＤＫ,67620,3073.0,105.0,3.54%,3085.0,2936.0,13019,400.0923
成交量排行,35,ＩＨＩ,70130,2780.0,113.5,4.26%,2834.5,2672.5,12349,343.3078
成交量排行,36,第一ライフグループ,87500,1877.5,78.5,4.36%,1877.5,1804.0,11598,217.7675
成交量排行,37,パナソニック　ホールディングス,67520,4073.0,80.0,2.00%,4080.0,3911.0,11240,457.8093
成交量排行,38,野村ホールディングス,86040,1586.5,66.5,4.38%,1586.5,1515.5,11177,177.3342
成交量排行,39,楽天グループ,47550,802.0,2.9,0.36%,817.2,796.7,11153,89.4471
成交量排行,40,日立製作所,65010,4792.0,75.0,1.59%,4832.0,4675.0,11059,529.9617
成交量排行,41,イオン,82670,1366.5,-28.5,-2.04%,1411.0,1364.0,11024,150.6553
成交量排行,42,三菱自動車工業,72110,389.5,9.1,2.39%,395.8,380.5,10625,41.3852
成交量排行,43,アドバンテスト,68570,29630.0,2125.0,7.73%,29825.0,27530.0,10348,3066.1717
成交量排行,44,セブン銀行,84100,311.3,8.5,2.81%,311.5,303.9,10328,32.1532
成交量排行,45,ＳＨＩＦＴ,36970,765.8,22.4,3.01%,779.6,740.0,10212,78.2058
成交量排行,46,住友商事,80530,1573.5,59.5,3.93%,1575.5,1522.5,9996,157.2886
成交量排行,47,三菱商事,80580,4664.0,217.0,4.88%,4673.0,4513.0,9956,464.3712
成交量排行,48,りそなホールディングス,83080,2286.0,61.5,2.76%,2286.0,2219.0,9832,224.7801
成交量排行,49,みずほフィナンシャルグループ,84110,8302.0,372.0,4.69%,8302.0,7924.0,9797,813.3801
成交量排行,50,住友化学,40050,536.4,12.7,2.43%,538.9,526.6,9797,52.5554
成交量排行,51,ゆうちょ銀行,71820,3348.0,207.0,6.59%,3348.0,3145.0,9700,324.7861
成交量排行,52,三井不動産,88010,1574.5,37.5,2.44%,1592.5,1542.5,9620,151.4716
成交量排行,53,イビデン,40620,17415.0,1730.0,11.03%,17415.0,15930.0,9174,1597.6869
成交量排行,54,アステラス製薬,45030,2196.5,45.5,2.12%,2204.5,2152.0,9078,199.418
成交量排行,55,パン・パシフィック・インターナショナルホールディングス,75320,880.9,-8.1,-0.91%,895.9,877.0,9065,79.8598
成交量排行,56,セブン＆アイ・ホールディングス,33820,2074.0,-6.0,-0.29%,2099.0,2055.5,8623,178.8514
成交量排行,57,安川電機,65060,5119.0,3.0,0.06%,5150.0,4926.0,8574,438.9491
