排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,315801,31.5801
成交量排行,2,ＮＴＴ,94320,146.1,3.3,2.31%,146.1,143.5,263408,384.8403
成交量排行,3,ソフトバンク,94340,210.1,3.7,1.79%,210.1,207.3,82530,173.3968
成交量排行,4,ソフトバンクグループ,99840,6195.0,195.0,3.25%,6266.0,5741.0,73627,4561.2484
成交量排行,5,ソニーフィナンシャルグループ,87290,146.3,2.3,1.60%,147.6,145.2,55756,81.5713
成交量排行,6,キオクシアホールディングス,285A0,76260.0,-11870.0,-13.47%,80990.0,75000.0,44758,34132.7558
成交量排行,7,ジャパンディスプレイ,67400,52.0,-2.0,-3.70%,55.0,51.0,38938,20.2482
成交量排行,8,日本製鉄,54010,542.0,11.0,2.07%,542.6,530.5,35748,193.7542
成交量排行,9,日産自動車,72010,312.0,8.3,2.73%,315.7,302.1,35074,109.4318
成交量排行,10,三菱ＵＦＪフィナンシャル・グループ,83060,3306.0,59.0,1.82%,3338.0,3255.0,34768,1149.4466
成交量排行,11,フジクラ,58030,5368.0,-458.0,-7.86%,5555.0,5361.0,34213,1836.5592
成交量排行,12,トヨタ自動車,72030,2793.0,68.5,2.51%,2839.0,2750.0,30358,847.9129
成交量排行,13,サンリオ,81360,1112.0,19.0,1.74%,1132.5,1081.0,27165,302.0826
成交量排行,14,ＪＸ金属,50160,4048.0,-171.0,-4.05%,4179.0,3941.0,26667,1079.5004
成交量排行,15,古河電気工業,58010,3976.0,-375.0,-8.62%,4225.0,3925.0,26552,1055.7393
成交量排行,16,川崎重工業,70120,2765.0,66.5,2.46%,2877.5,2561.0,26201,724.4632
成交量排行,17,本田技研工業,72670,1527.0,54.5,3.70%,1543.5,1480.0,26070,398.1011
成交量排行,18,東京電力ホールディングス,95010,457.4,2.3,0.51%,464.1,450.5,24127,110.3578
成交量排行,19,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,20,ＳＵＭＣＯ,34360,4577.0,-152.0,-3.21%,4857.0,4389.0,23403,1071.1553
成交量排行,21,太陽誘電,69760,20400.0,-2255.0,-9.95%,22370.0,20155.0,23081,4708.626
成交量排行,22,村田製作所,69810,10875.0,-1015.0,-8.54%,11370.0,10765.0,21447,2332.3612
成交量排行,23,住友電気工業,58020,2688.5,-145.5,-5.13%,2783.5,2640.0,20864,560.9528
成交量排行,24,ソニーグループ,67580,3330.0,80.0,2.46%,3400.0,3296.0,19252,641.1216
成交量排行,25,パナソニック　ホールディングス,67520,4547.0,-223.0,-4.68%,4666.0,4456.0,18343,834.0699
成交量排行,26,ソシオネクスト,65260,2767.5,48.0,1.77%,2857.5,2636.5,17865,494.4332
成交量排行,27,三菱重工業,70110,3788.0,52.0,1.39%,3867.0,3752.0,17061,646.2934
成交量排行,28,メタプラネット,33500,207.0,7.0,3.50%,211.0,200.0,16700,34.5702
成交量排行,29,日立製作所,65010,4669.0,173.0,3.85%,4719.0,4520.0,16571,773.7187
成交量排行,30,ＬＩＮＥヤフー,46890,436.0,9.4,2.20%,439.2,429.7,16346,71.2716
成交量排行,31,伊藤忠商事,80010,1886.0,34.0,1.84%,1899.0,1859.5,16130,304.2193
成交量排行,32,三菱自動車工業,72110,328.9,14.6,4.65%,332.0,312.3,15071,49.5712
成交量排行,33,ルネサスエレクトロニクス,67230,4842.0,-281.0,-5.49%,5014.0,4747.0,14915,722.1843
成交量排行,34,ＩＨＩ,70130,2801.5,128.0,4.79%,2824.0,2712.0,14849,415.9975
成交量排行,35,住友商事,80530,1584.0,18.5,1.18%,1626.5,1575.0,14840,235.0767
成交量排行,36,ＴＤＫ,67620,3660.0,-40.0,-1.08%,3768.0,3575.0,14570,533.2803
成交量排行,37,スズキ,72690,2062.5,72.0,3.62%,2078.0,1973.5,12378,255.3045
成交量排行,38,三井住友フィナンシャルグループ,83160,6573.0,140.0,2.18%,6636.0,6469.0,11873,780.4649
成交量排行,39,住友化学,40050,521.8,-0.4,-0.08%,535.0,520.8,11616,60.6149
成交量排行,40,りそなホールディングス,83080,2197.0,82.5,3.90%,2222.5,2145.0,10956,240.7099
成交量排行,41,楽天グループ,47550,742.2,11.4,1.56%,750.9,734.9,10821,80.3172
成交量排行,42,大黒屋ホールディングス,69930,85.0,-4.0,-4.49%,93.0,85.0,10812,9.1904
成交量排行,43,第一ライフグループ,87500,1824.5,33.5,1.87%,1840.5,1804.0,10389,189.5601
成交量排行,44,ＲＥＶＯＬＵＴＩＯＮ,88940,26.0,0.0,0.00%,35.0,25.0,10053,2.614
成交量排行,45,パーソルホールディングス,21810,252.1,9.8,4.04%,252.4,247.2,9980,25.1611
