排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,331626,33.1627
成交量排行,2,ＮＴＴ,94320,147.0,0.9,0.62%,147.4,146.2,177637,261.1264
成交量排行,3,ジャパンディスプレイ,67400,56.0,3.0,5.66%,59.0,53.0,56564,31.6759
成交量排行,4,ソフトバンク,94340,210.4,1.3,0.62%,210.7,208.2,51349,108.0383
成交量排行,5,ソニーフィナンシャルグループ,87290,149.0,2.2,1.50%,149.4,147.4,44824,66.7887
成交量排行,6,ＫＬａｂ,36560,241.0,46.0,23.59%,245.0,195.0,43286,104.3193
成交量排行,7,キオクシアホールディングス,285A0,81590.0,-1710.0,-2.05%,84800.0,78200.0,40153,32760.9959
成交量排行,8,三菱重工業,70110,4110.0,318.0,8.39%,4110.0,3839.0,35898,1475.4325
成交量排行,9,日産自動車,72010,319.1,6.0,1.92%,322.7,314.0,35392,112.9375
成交量排行,10,サンリオ,81360,1155.0,67.5,6.21%,1163.0,1081.5,34346,396.6986
成交量排行,11,ソフトバンクグループ,99840,5979.0,-190.0,-3.08%,6147.0,5866.0,33669,2013.1114
成交量排行,12,フジクラ,58030,5354.0,-4.0,-0.07%,5452.0,5221.0,32123,1719.8654
成交量排行,13,トヨタ自動車,72030,2923.0,95.0,3.36%,2923.0,2839.0,26728,781.2594
成交量排行,14,ＳＵＭＣＯ,34360,5171.0,77.0,1.51%,5309.0,4920.0,26068,1347.9763
成交量排行,15,三菱ＵＦＪフィナンシャル・グループ,83060,3370.0,44.0,1.32%,3370.0,3294.0,25810,869.824
成交量排行,16,日本製鉄,54010,559.0,10.8,1.97%,564.7,552.3,25485,142.4623
成交量排行,17,本田技研工業,72670,1599.0,49.0,3.16%,1604.0,1566.5,24491,391.6191
成交量排行,18,東京電力ホールディングス,95010,468.8,3.8,0.82%,475.5,465.5,24111,113.0347
成交量排行,19,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,20,メタプラネット,33500,227.0,13.0,6.07%,228.0,220.0,22055,50.0653
成交量排行,21,ＩＨＩ,70130,3071.0,201.5,7.02%,3075.0,2890.0,22035,676.6979
成交量排行,22,村田製作所,69810,10250.0,-830.0,-7.49%,11090.0,9901.0,20945,2146.9138
成交量排行,23,太陽誘電,69760,18385.0,-2175.0,-10.58%,20830.0,18030.0,19033,3499.3274
成交量排行,24,古河電気工業,58010,3888.0,-112.0,-2.80%,3998.0,3793.0,18637,724.6066
成交量排行,25,住友電気工業,58020,2592.5,-71.5,-2.68%,2696.0,2557.0,18064,468.3118
成交量排行,26,ＪＸ金属,50160,4022.0,-63.0,-1.54%,4119.0,3937.0,17690,711.5159
成交量排行,27,川崎重工業,70120,3003.0,183.0,6.49%,3069.0,2840.0,16351,491.0235
成交量排行,28,大黒屋ホールディングス,69930,86.0,2.0,2.38%,88.0,83.0,14299,12.2971
成交量排行,29,ＴＤＫ,67620,3501.0,-198.0,-5.35%,3705.0,3444.0,14040,491.5579
成交量排行,30,ソニーグループ,67580,3422.0,42.0,1.24%,3422.0,3347.0,12783,437.4479
成交量排行,31,信越化学工業,40630,7415.0,457.0,6.57%,7420.0,7050.0,11929,884.5724
成交量排行,32,パナソニック　ホールディングス,67520,4557.0,35.0,0.77%,4659.0,4493.0,11643,530.5852
成交量排行,33,楽天グループ,47550,776.6,12.6,1.65%,780.4,756.7,11591,90.0157
成交量排行,34,第一三共,45680,2758.0,108.5,4.10%,2775.0,2674.5,11572,319.1778
成交量排行,35,ソシオネクスト,65260,2700.0,-174.0,-6.05%,2935.0,2642.0,11531,311.3478
成交量排行,36,ルネサスエレクトロニクス,67230,4710.0,-110.0,-2.28%,4919.0,4621.0,11492,541.292
成交量排行,37,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,11270.0,-730.0,-6.08%,12005.0,10750.0,11457,1291.2715
成交量排行,38,伊藤忠商事,80010,1893.5,5.0,0.26%,1914.5,1887.0,11382,215.5182
成交量排行,39,日立製作所,65010,4805.0,190.0,4.12%,4805.0,4682.0,11352,545.502
成交量排行,40,イオン,82670,1455.0,47.5,3.37%,1468.0,1406.5,10623,154.5661
成交量排行,41,三井住友フィナンシャルグループ,83160,6800.0,128.0,1.92%,6815.0,6632.0,10412,708.05
成交量排行,42,三菱自動車工業,72110,343.2,9.4,2.82%,343.2,335.4,10041,34.4624
成交量排行,43,リベルタ,49350,335.0,-25.0,-6.94%,414.0,335.0,9959,33.365
成交量排行,44,ＬＩＮＥヤフー,46890,438.7,0.5,0.11%,438.8,430.3,9895,43.4102
成交量排行,45,住友化学,40050,552.4,-1.6,-0.29%,563.8,549.1,8940,49.3895
成交量排行,46,パン・パシフィック・インターナショナルホールディングス,75320,852.7,34.4,4.20%,852.7,816.8,8826,75.267
成交量排行,47,住友商事,80530,1591.0,16.0,1.02%,1614.0,1578.5,8014,127.5107
成交量排行,48,野村ホールディングス,86040,1490.0,18.5,1.26%,1491.0,1467.0,7782,115.9637
