排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,-1.0,-9.09%,11.0,10.0,316449,31.645
成交量排行,2,ＮＴＴ,94320,142.8,-2.2,-1.52%,144.2,142.6,311003,444.1136
成交量排行,3,ソフトバンク,94340,206.4,-1.7,-0.82%,207.9,205.6,79153,163.3734
成交量排行,4,ソニーフィナンシャルグループ,87290,144.0,1.1,0.77%,144.8,141.3,47540,68.4583
成交量排行,5,川崎重工業,70120,2698.5,-224.0,-7.66%,3080.0,2648.5,44738,1207.2576
成交量排行,6,ソフトバンクグループ,99840,6000.0,37.0,0.62%,6239.0,5975.0,40040,2402.442
成交量排行,7,フジクラ,58030,5826.0,-412.0,-6.60%,6431.0,5802.0,39659,2310.5508
成交量排行,8,東京電力ホールディングス,95010,455.1,-6.2,-1.34%,459.0,442.8,35745,162.6755
成交量排行,9,サンリオ,81360,1093.0,-7.0,-0.64%,1113.0,1055.5,32241,352.3952
成交量排行,10,日本製鉄,54010,531.0,-5.1,-0.95%,541.7,531.0,29551,156.9163
成交量排行,11,キオクシアホールディングス,285A0,88130.0,-1550.0,-1.73%,93060.0,87120.0,29322,25841.743
成交量排行,12,ＳＵＭＣＯ,34360,4729.0,700.0,17.37%,4729.0,4112.0,28967,1369.8542
成交量排行,13,古河電気工業,58010,4351.0,-379.0,-8.01%,4870.0,4218.0,28131,1223.9798
成交量排行,14,太陽誘電,69760,22655.0,2505.0,12.43%,24065.0,20760.0,27898,6320.4958
成交量排行,15,村田製作所,69810,11890.0,495.0,4.34%,12280.0,11530.0,27495,3269.1793
成交量排行,16,ＪＸ金属,50160,4219.0,-179.0,-4.07%,4518.0,4183.0,25108,1059.3276
成交量排行,17,日産自動車,72010,303.7,3.7,1.23%,305.8,300.5,24799,75.3167
成交量排行,18,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,19,トヨタ自動車,72030,2724.5,-0.5,-0.02%,2771.5,2715.0,21882,596.1942
成交量排行,20,三菱ＵＦＪフィナンシャル・グループ,83060,3247.0,40.0,1.25%,3267.0,3215.0,21862,709.8721
成交量排行,21,ソニーグループ,67580,3250.0,-30.0,-0.91%,3340.0,3230.0,20084,652.7592
成交量排行,22,三菱重工業,70110,3736.0,70.0,1.91%,3825.0,3711.0,19764,738.4092
成交量排行,23,楽天グループ,47550,730.8,-22.6,-3.00%,765.9,723.7,19392,141.7226
成交量排行,24,メタプラネット,33500,200.0,0.0,0.00%,204.0,192.0,19144,38.2888
成交量排行,25,本田技研工業,72670,1472.5,-7.5,-0.51%,1495.0,1464.5,16878,248.53
成交量排行,26,住友電気工業,58020,2834.0,-93.0,-3.18%,3017.0,2810.5,16813,476.4861
成交量排行,27,パナソニック　ホールディングス,67520,4770.0,268.0,5.95%,4770.0,4580.0,16448,784.5839
成交量排行,28,ＴＤＫ,67620,3700.0,130.0,3.64%,3762.0,3604.0,15482,572.8673
成交量排行,29,ルネサスエレクトロニクス,67230,5123.0,316.0,6.57%,5195.0,4955.0,15321,784.9
成交量排行,30,住友化学,40050,522.2,8.7,1.69%,541.5,517.5,15220,79.4825
成交量排行,31,ジャパンディスプレイ,67400,54.0,-2.0,-3.57%,57.0,54.0,14280,7.7116
成交量排行,32,伊藤忠商事,80010,1852.0,-2.0,-0.11%,1856.0,1819.0,14243,263.7804
成交量排行,33,ＲＥＶＯＬＵＴＩＯＮ,88940,26.0,3.0,13.04%,36.0,23.0,14143,3.6772
成交量排行,34,ＩＨＩ,70130,2673.5,-38.0,-1.40%,2759.5,2637.0,12172,325.4264
成交量排行,35,イビデン,40620,25785.0,1970.0,8.27%,27480.0,25125.0,11603,2991.8593
成交量排行,36,三菱自動車工業,72110,314.3,2.2,0.70%,322.5,312.9,11265,35.4059
成交量排行,37,日立製作所,65010,4496.0,25.0,0.56%,4555.0,4476.0,11138,500.7735
成交量排行,38,ＬＩＮＥヤフー,46890,426.6,-7.2,-1.66%,433.2,424.4,10854,46.3036
成交量排行,39,野村ホールディングス,86040,1439.5,26.0,1.84%,1465.5,1420.0,10436,150.2305
成交量排行,40,パン・パシフィック・インターナショナルホールディングス,75320,793.6,-29.4,-3.57%,818.1,793.6,10371,82.3043
成交量排行,41,ソシオネクスト,65260,2719.5,168.0,6.58%,2772.0,2569.5,10363,281.8354
成交量排行,42,中部電力,95020,3118.0,58.0,1.90%,3203.0,3022.0,10290,320.8547
成交量排行,43,住友商事,80530,1565.5,16.5,1.07%,1578.0,1535.0,9863,154.4084
成交量排行,44,第一ライフグループ,87500,1791.0,12.5,0.70%,1813.0,1767.0,9619,172.2924
成交量排行,45,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,11420.0,565.0,5.20%,12220.0,11250.0,9514,1086.5445
成交量排行,46,三井不動産,88010,1479.0,-20.0,-1.33%,1493.5,1457.0,9488,140.3275
成交量排行,47,イオン,82670,1298.0,-43.0,-3.21%,1341.5,1290.0,9246,120.0248
成交量排行,48,信越化学工業,40630,7259.0,251.0,3.58%,7285.0,6975.0,9180,666.4052
成交量排行,49,デンソー,69020,1870.5,-5.5,-0.29%,1888.0,1844.5,9162,171.3883
成交量排行,50,三井住友フィナンシャルグループ,83160,6433.0,87.0,1.37%,6474.0,6346.0,8768,564.0776
成交量排行,51,ＫＤＤＩ,94330,2655.0,-90.0,-3.28%,2707.5,2643.0,8693,230.7991
成交量排行,52,日東紡績,31100,3950.0,-365.0,-8.46%,4325.0,3805.0,8278,326.9889
成交量排行,53,京セラ,69710,3821.0,260.0,7.30%,3861.0,3631.0,8242,314.9306
成交量排行,54,三菱商事,80580,4344.0,-3.0,-0.07%,4372.0,4286.0,7890,342.7459
成交量排行,55,メディアリンクス,66590,57.0,-8.0,-12.31%,64.0,56.0,7728,4.4055
