排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,298690,29.8691
成交量排行,2,ＮＴＴ,94320,144.3,0.5,0.35%,144.4,142.6,206488,297.9623
成交量排行,3,ジャパンディスプレイ,67400,60.0,5.0,9.09%,61.0,54.0,82725,49.6354
成交量排行,4,ソニーフィナンシャルグループ,87290,135.9,-1.6,-1.16%,137.1,134.5,77901,105.8683
成交量排行,5,サンリオ,81360,1092.0,86.5,8.60%,1102.5,996.0,77654,847.9915
成交量排行,6,ソフトバンク,94340,204.7,1.4,0.69%,205.7,202.6,76751,157.1103
成交量排行,7,ソフトバンクグループ,99840,6226.0,-892.0,-12.53%,6489.0,6114.0,71837,4472.5965
成交量排行,8,フジクラ,58030,6131.0,-305.0,-4.74%,6579.0,6066.0,61307,3758.7383
成交量排行,9,東京電力ホールディングス,95010,456.6,-24.6,-5.11%,477.2,450.9,46173,210.8287
成交量排行,10,日産自動車,72010,300.0,-2.0,-0.66%,301.2,290.8,44198,132.5949
成交量排行,11,キオクシアホールディングス,285A0,92180.0,-11670.0,-11.24%,102000.0,89600.0,43906,40473.1039
成交量排行,12,ＪＸ金属,50160,4553.0,-334.0,-6.83%,4866.0,4481.0,35105,1598.3534
成交量排行,13,メタプラネット,33500,197.0,-23.0,-10.45%,210.0,195.0,34900,68.7542
成交量排行,14,トヨタ自動車,72030,2768.0,67.5,2.50%,2768.0,2696.5,32537,900.6297
成交量排行,15,ルネサスエレクトロニクス,67230,4800.0,-44.0,-0.91%,5259.0,4800.0,31839,1528.296
成交量排行,16,三菱ＵＦＪフィナンシャル・グループ,83060,3245.0,12.0,0.37%,3285.0,3220.0,27483,891.8234
成交量排行,17,日本製鉄,54010,543.3,-3.7,-0.68%,546.0,539.5,24184,131.3928
成交量排行,18,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,19,村田製作所,69810,10770.0,-1055.0,-8.92%,11550.0,10580.0,21939,2362.8949
成交量排行,20,太陽誘電,69760,16780.0,-2040.0,-10.84%,18020.0,15500.0,19830,3327.5411
成交量排行,21,ソニーグループ,67580,3199.0,2.0,0.06%,3199.0,3120.0,19829,634.3521
成交量排行,22,ＴＤＫ,67620,3575.0,-333.0,-8.52%,3831.0,3535.0,18063,645.7844
成交量排行,23,三菱重工業,70110,3567.0,-51.0,-1.41%,3639.0,3536.0,16993,606.1403
成交量排行,24,三井不動産,88010,1480.0,5.0,0.34%,1480.0,1430.0,16359,242.1132
